dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06
64377.71674547341,27.0246,1881.0,62.072669999999995,2018-12-23 12:49:22,222719.0,gt3l
67475.55554225728,49.2084,1958.0,28.7745,2018-12-14 02:42:09,251772.0,gt3r
60830.05061858984,27.0913,1773.0,28.242078999999997,2018-12-14 02:42:09,232149.0,gt1l
60929.600161466886,27.0937,1776.0,28.462296000000002,2018-12-14 02:42:09,236063.0,gt1r
64116.15473568333,27.0339,1873.0,45.36201,2018-12-14 02:42:09,239995.0,gt2l
64181.51361895993,27.0723,1875.0,28.416791999999997,2018-12-14 02:42:09,243939.0,gt2r
67409.21598193189,42.9101,1956.0,42.101818,2018-12-14 02:42:09,247852.0,gt3l
91620.2264276671,300.2491,2685.0,284.09387000000004,2019-01-20 01:01:33,278178.0,gt3r
85135.30654537723,130.8373,2489.0,109.95471,2019-01-20 01:01:33,258436.0,gt1l
85237.78938066862,127.9096,2492.0,107.37252,2019-01-20 01:01:33,262374.0,gt1r
88350.67397344009,235.0716,2584.0,204.02078,2019-01-20 01:01:33,266320.0,gt2l
88417.46471933163,238.1529,2586.0,208.52435,2019-01-20 01:01:33,270273.0,gt2r
91524.12922346448,300.7114,2682.0,281.13412,2019-01-20 01:01:33,274196.0,gt3l
83596.76532246105,146.5101,2444.0,116.16505,2018-12-18 02:33:52,301761.0,gt3r
77148.18081647238,105.9829,2254.0,35.181244,2018-12-18 02:33:52,282215.0,gt1l
77214.58619774459,106.3562,2256.0,29.395874,2018-12-18 02:33:52,286085.0,gt1r
80327.2272679578,117.4874,2348.0,108.45198,2018-12-18 02:33:52,289972.0,gt2l
80395.24210071907,121.2758,2350.0,111.6211,2018-12-18 02:33:52,293904.0,gt2r
83528.55282045584,148.6617,2442.0,112.22618999999999,2018-12-18 02:33:52,297830.0,gt3l
95749.18057174153,260.654,2811.0,241.64752000000001,2019-01-29 11:08:55,325681.0,gt3r
102969.16756876053,303.1031,3017.0,286.3748,2019-01-29 11:08:55,305906.0,gt1l
102969.16756876053,303.1031,3017.0,278.8611,2019-01-29 11:08:55,309882.0,gt1r
