dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06,slope_ATM,slope_ATL06
66750.73827905896,431.6262,1748.0,429.459575,2018-11-23 03:49:31,62801.0,gt3r,,
95021.78518878242,85.0094,2543.0,76.0026125,2018-11-24 14:13:17,594529.0,gt1l,-0.09115675394980444,-0.054892758234315414
95117.25041349624,76.3071,2546.0,70.76226299999998,2018-11-24 14:13:17,598416.0,gt1r,,
98420.00467600056,65.3142,2627.0,29.201879499999997,2018-11-24 14:13:17,602281.0,gt2l,-0.008343072064262491,-0.00024083447167949358
98513.57932020676,64.5335,2630.0,29.1793435,2018-11-24 14:13:17,606192.0,gt2r,,
101715.23036984367,28.6108,2731.0,30.026967,2018-11-24 14:13:17,610111.0,gt3l,-0.00039455824210686113,-0.017379017796282478
101778.08547551217,28.586,2733.0,28.934607,2018-11-24 14:13:17,614013.0,gt3r,,
56862.93684580815,570.238,1513.0,,2018-11-27 03:41:06,178852.0,gt1r,,
77787.88816762308,261.0325,2048.0,256.94791000000004,2018-11-28 14:04:55,547442.0,gt1l,0.032195046201597306,0.014481055858821677
77886.17658069711,264.1969,2051.0,258.37122999999997,2018-11-28 14:04:55,551425.0,gt1r,,
81301.47591474657,256.4816,2158.0,252.58961500000004,2018-11-28 14:04:55,555342.0,gt2l,-0.03472614770561749,-0.026019569053096804
81363.17293965594,254.3391,2160.0,250.984285,2018-11-28 14:04:55,559291.0,gt2r,,
84818.90022909742,137.5971,2247.0,118.04413799999999,2018-11-28 14:04:55,563186.0,gt3l,-0.040463692939014674,-0.006967953885338316
84916.67182908367,133.6409,2250.0,117.36287000000002,2018-11-28 14:04:55,567096.0,gt3r,,
66750.73827905896,431.6262,1748.0,,2018-12-02 13:56:37,375040.0,gt3r,,
127480.01009580774,28.7838,3468.0,50.989828,2018-12-10 02:50:30,64514.0,gt1l,0.0014115085240471424,0.0028334151608880335
127416.24852549717,28.6938,3466.0,50.80916500000001,2018-12-10 02:50:30,65899.0,gt1r,,
124253.07510180725,40.9501,3366.0,64.77767300000001,2018-12-10 02:50:30,68113.0,gt2l,0.0059535175283882144,0.022543262617362732
124158.6603298141,40.388000000000005,3363.0,62.64925600000001,2018-12-10 02:50:30,70344.0,gt2r,,
120942.87141280885,46.0298,3260.0,68.79187999999999,2018-12-10 02:50:30,73404.0,gt3l,0.03404220535036043,-0.002848439258949436
120880.5987140168,43.9099,3258.0,68.96925999999999,2018-12-10 02:50:30,76475.0,gt3r,,
110921.67814234992,29.204,2994.0,28.6404585,2018-12-14 02:42:09,232148.0,gt1l,0.013563397023281418,-0.0012662689999399913
110860.11539383148,28.369,2992.0,28.7184135,2018-12-14 02:42:09,236061.0,gt1r,,
107618.40456231855,28.2191,2889.0,28.899082,2018-12-14 02:42:09,239998.0,gt2l,-0.06446012083363063,-0.0034860311267158424
107521.83012343304,34.4443,2886.0,29.2357435,2018-12-14 02:42:09,243944.0,gt2r,,
104356.04583634039,29.3123,2813.0,28.539873,2018-12-14 02:42:09,247849.0,gt3l,0.00932894516777844,0.0013227063485360664
104259.43255543988,28.410999999999998,2810.0,28.412082,2018-12-14 02:42:09,251769.0,gt3r,,
94606.23146442896,90.4699,2530.0,82.499975,2018-12-18 02:33:52,282216.0,gt1l,0.013854675077773815,0.028104895126936556
94542.0870514412,89.5812,2528.0,80.697203,2018-12-18 02:33:52,286087.0,gt1r,,
91406.81201579364,107.3836,2429.0,102.337405,2018-12-18 02:33:52,289971.0,gt2l,-0.03871915486171265,-0.07044105927027586
91344.69547403052,109.7887,2427.0,106.71296,2018-12-18 02:33:52,293903.0,gt2r,,
88224.95764407859,116.045,2351.0,113.73002749999999,2018-12-18 02:33:52,297833.0,gt3l,-0.028978237395647134,0.0005761763949164209
88129.04083719863,118.8245,2348.0,113.6747625,2018-12-18 02:33:52,301764.0,gt3r,,
117157.79854979506,28.3613,3162.0,27.5615855,2018-12-19 12:57:40,78968.0,gt1l,-0.0010971792145209789,0.00022499601609964873
117252.04021845914,28.2579,3165.0,27.5827895,2018-12-19 12:57:40,82915.0,gt1r,,
120724.8109833851,47.8902,3253.0,46.431328,2018-12-19 12:57:40,86864.0,gt2l,,
120724.8109833851,47.8902,3253.0,46.25047650000001,2018-12-19 12:57:40,90831.0,gt2r,,
123624.1538482616,41.8342,3346.0,40.87226149999999,2018-12-19 12:57:40,94703.0,gt3l,0.010639459736924463,0.0019689929941347625
123686.92959219172,42.5021,3348.0,40.9958665,2018-12-19 12:57:40,98535.0,gt3r,,
78569.72526440368,277.6664,2072.0,274.020525,2018-12-22 02:25:33,524774.0,gt1l,0.0008074188446406567,0.011048832611554213
78472.50187096783,277.5879,2069.0,272.94632,2018-12-22 02:25:33,528736.0,gt1r,,
75320.90276942406,252.2613,1974.0,249.87349500000002,2018-12-22 02:25:33,532649.0,gt2l,,
75219.48016349894,254.8828,1971.0,250.589915,2018-12-22 02:25:33,536616.0,gt2r,,
72126.13183438563,271.6124,1909.0,270.768725,2018-12-22 02:25:33,540530.0,gt3l,,
72024.46361351218,276.3488,1906.0,272.376925,2018-12-22 02:25:33,544478.0,gt3r,,
100635.9410391766,68.8594,2697.0,30.358602500000003,2018-12-23 12:49:22,207121.0,gt1l,0.006863695636220273,-0.010591220573047072
100699.85704350595,69.2981,2699.0,29.681654,2018-12-23 12:49:22,211045.0,gt1r,,
104099.03512941947,28.4067,2805.0,28.8619635,2018-12-23 12:49:22,214932.0,gt2l,0.01473577265533063,-0.0006936791579731451
104163.06977640207,29.3503,2807.0,28.817544,2018-12-23 12:49:22,218811.0,gt2r,,
107392.61148126269,46.3768,2882.0,29.9270925,2018-12-23 12:49:22,222715.0,gt3l,-0.02444850339283918,0.01271590492914365
107457.27392601843,44.7959,2884.0,30.749334,2018-12-23 12:49:22,226637.0,gt3r,,
62451.459609688776,484.5015,1649.0,482.61852000000005,2018-12-26 02:17:13,129278.0,gt1l,-0.0665597290163287,-0.06840157036544028
62378.70090000695,489.3443,1647.0,487.59533,2018-12-26 02:17:13,132910.0,gt1r,,
59279.85094420586,542.4711,1561.0,539.463375,2018-12-26 02:17:13,136474.0,gt2l,,
59173.87168358278,543.6596,1558.0,540.5708,2018-12-26 02:17:13,139248.0,gt2r,,
83664.76405249491,202.0313,2211.0,200.98009,2018-12-27 12:41:01,182562.0,gt1l,-0.10235431134591633,-0.04599333392744286
83759.53582978934,192.331,2214.0,196.62122,2018-12-27 12:41:01,186488.0,gt1r,,
87120.79580734459,114.67299999999999,2317.0,104.29491,2018-12-27 12:41:01,190413.0,gt2l,0.0012224527398760855,0.01221419681222514
87219.53173067546,114.7937,2320.0,105.50088999999998,2018-12-27 12:41:01,194364.0,gt2r,,
90477.7664949321,101.1032,2399.0,100.6493975,2018-12-27 12:41:01,198302.0,gt3l,-0.02522357289994064,0.00289457996674003
90570.49324737428,98.7643,2402.0,100.9178025,2018-12-27 12:41:01,202238.0,gt3r,,
62633.26001122997,473.8037,1654.0,472.54747,2018-12-31 12:32:45,502468.0,gt1l,,
62742.26319672131,468.2728,1657.0,470.55201500000004,2018-12-31 12:32:45,505431.0,gt1r,,
65977.17661711872,414.111,1747.0,418.29587999999995,2018-12-31 12:32:45,508377.0,gt2l,,
65977.17661711872,414.111,1747.0,419.847595,2018-12-31 12:32:45,512142.0,gt2r,,
