ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.846721,79.211271,397913.4770681352,-1102425.7790830873,891.4235,0.0
334.848221,79.211989,397915.7040900742,-1102341.5766935966,891.6056,84.23183497155706
334.84972200000004,79.212707,397917.94624421955,-1102257.3680820102,891.7156,168.47029127575638
334.848567,79.21215500000001,397916.2030612105,-1102322.1149244064,891.6397,233.2405953300296
334.848296,79.211153,397948.1586696204,-1102426.96662082,891.1921,342.8537293499939
334.849794,79.21186999999999,397950.38230829476,-1102342.8806959474,891.4414,426.9690509664819
334.851292,79.212587,397952.60185233987,-1102258.7954920395,891.5605,511.08354372489026
334.850146,79.212039,397950.88495726883,-1102323.068921348,891.4861,575.3799001050647
334.849869,79.211035,397982.80215588736,-1102428.1669793495,890.9943,685.2175501314283
334.851365,79.211751,397985.0224197923,-1102344.1975196332,891.2689,769.2163580803707
334.85286,79.212468,397987.18225879676,-1102260.1329641526,891.436,853.3086549492148
334.85172400000005,79.211923,397985.547969724,-1102324.028792245,891.3228,917.2253800561533
334.851444,79.21091700000001,398017.48449086724,-1102429.3523754189,890.8443,1027.28444853895
334.852937,79.211632,398019.6821430726,-1102345.5063280112,891.1107,1111.1592918539302
334.85443,79.21234799999999,398021.8386197068,-1102261.558237811,891.3188,1195.135075504424
334.853304,79.21180799999999,398020.2127118901,-1102324.8709377716,891.1725,1258.4686491642321
334.853021,79.210799,398052.2056746457,-1102430.5228053853,890.7139,1368.8582627885978
334.854511,79.21151400000001,398054.34361136303,-1102346.697411784,890.9555,1452.7109156137979
334.856,79.212228,398056.4953583957,-1102262.9824421508,891.181,1536.453534130126
334.85488399999997,79.211692,398054.9149109663,-1102325.8147716827,891.0138,1599.3057373411682
334.854602,79.21068199999999,398086.96708284423,-1102431.5616095564,890.5724,1709.803409001622
334.856087,79.211395,398089.08103471197,-1102347.976288496,890.8278,1793.4154577103232
334.857572,79.212109,398091.15383927885,-1102264.2889231313,891.0494,1877.1284891956627
334.856465,79.211577,398089.5995949038,-1102326.6478253233,890.8733,1939.5067575121666
334.856177,79.210565,398121.6134057773,-1102432.6410281612,890.4142,2050.2291271331087
334.857661,79.211277,398123.743239111,-1102349.1652295855,890.6997,2133.7320919779304
334.859144,79.211988,398125.8869216612,-1102265.7998483707,890.9203,2217.125030287836
334.858046,79.211462,398124.28462866874,-1102327.4798062765,890.7564,2278.8257964912877
334.85776400000003,79.210448,398156.4909828392,-1102433.635987569,890.2792,2389.759939457202
334.85924,79.211159,398158.5020082932,-1102350.3183545272,890.5709,2473.101838878068
334.860716,79.21186999999999,398160.5090349954,-1102267.0014317543,890.8048,2556.442931842645
334.859628,79.21134599999999,398159.0263670659,-1102328.4065221464,890.639,2617.86591964242
334.859343,79.210332,398191.1778772166,-1102434.5827037091,890.1439,2728.803294481597
334.860817,79.21104100000001,398193.222664891,-1102351.4843026903,890.4714,2811.926849557932
334.862291,79.211751,398195.2263497274,-1102268.2838528813,890.7209,2895.1514228601613
334.86121,79.21123,398193.76846094587,-1102329.332162061,890.5479,2956.217137409344
334.860923,79.210216,398225.8843680849,-1102435.5213971029,890.0016,3067.1566936106187
334.862394,79.210924,398227.9065675573,-1102352.54642183,890.3849,3150.156306936373
334.86386600000003,79.211632,398229.9440366591,-1102269.5652005416,890.6708,3233.162537828169
334.862793,79.211115,398228.4930283013,-1102330.1470208107,890.4755,3293.7617323143486
334.86251,79.2101,398260.7259023372,-1102436.4103601533,889.8861,3404.8061173900633
334.863977,79.21080699999999,398262.70626934536,-1102353.565763052,890.2961,3487.6743810520297
334.86544399999997,79.211513,398264.71981052426,-1102270.824621619,890.6086,3570.4400190531724
334.864378,79.211,398263.2564240222,-1102330.9469023636,890.3963,3630.5801066984964
