,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,ATM_elev_Sm,ATM_elev_SupSm
1950,78.94439,338.54123,479771.5981495542,-1101231.3913428509,271.3627,82144.6801199929,-0.0009904999999999998,0.008378299999999998,271.3627,270.0105
1951,78.944298,338.542705,479803.9642346722,-1101228.258624182,271.6716,82177.19745986133,-0.0016929000000000002,0.0106201,271.6716,269.86580000000004
1952,78.94420500000003,338.544175,479836.27803805686,-1101225.2670460148,271.9738,82209.64944638174,-0.0023359,0.0072142,271.9738,269.80370000000005
1953,78.944113,338.545649,479868.6252205837,-1101222.1408338451,272.2452,82242.14734508222,-0.002594,0.0089762,272.2452,269.71905000000004
1954,78.94402,338.547124,479901.035446518,-1101219.1055116046,272.736,82274.6993945756,-0.005475,0.0194911,272.2452,269.67595
1955,78.943927,338.548598,479933.4266149601,-1101216.077628284,273.6018,82307.23177645044,-0.0134829,0.0285473,272.2452,269.65445
1956,78.943834,338.550076,479965.8948250118,-1101213.0153006508,274.4368,82339.84408263215,-0.0186911,0.0096116,272.2452,269.59225000000004
1957,78.94374,338.551555,479998.4260907419,-1101210.0438511386,274.7578,82372.51077457068,-0.0213241,-0.0027677,272.2452,269.52905
1958,78.943648,338.553033,480030.8509507142,-1101206.879444515,274.9243,82405.08967899521,-0.0283233,-0.0038064,272.2452,269.48605
1959,78.943555,338.554513,480063.358085838,-1101203.7975361722,275.0491,82437.74258074981,-0.0279584,-0.0111734,272.2452,269.3492
1960,78.943461,338.555995,480095.9475035522,-1101200.7981193548,274.992,82470.46973534956,-0.021618400000000003,-0.008379600000000001,272.2452,269.1692
1961,78.943368,338.557477,480128.4934035587,-1101197.697562681,275.2982,82503.16299243593,-0.0248408,0.014978899999999996,272.2452,269.0371
1962,78.943275,338.558961,480161.0779039284,-1101194.579299721,276.1117,82535.89635810818,-0.0266341,0.0217415,272.2452,268.94
1963,78.943182,338.560445,480193.66256546776,-1101191.4600889718,276.5379,82568.6299745189,-0.013761099999999998,-0.0066711,272.2452,268.87855
