ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,geometry
79.005422,337.44767,456120.06774600525,-1104022.1848987439,553.0003,58257.31301754253,-0.010525399999999999,0.0019645,POINT (456120.0677460053 -1104022.184898744)
79.005312,337.449121,456152.6173941891,-1104021.7443360295,553.1972,58289.865647119856,-0.0120287,0.0013425999999999998,POINT (456152.6173941891 -1104021.74433603)
79.00520300000001,337.450573,456185.144845696,-1104021.1938655588,553.3332,58322.397756170314,-0.011470600000000001,-0.0019617999999999997,POINT (456185.144845696 -1104021.193865559)
79.005093,337.452025,456217.7143021321,-1104020.7434635977,553.367,58354.97032675461,-0.0096352,-0.004215,POINT (456217.7143021321 -1104020.743463598)
79.004984,337.45347599999997,456250.2230190911,-1104020.1990797992,553.3539,58387.48360145961,-0.007670199999999999,-0.0034251,POINT (456250.2230190911 -1104020.199079799)
79.004874,337.454927,456282.7737460747,-1104019.754763536,553.365,58420.037360752525,-0.005995,-0.0008269999999999999,POINT (456282.7737460747 -1104019.754763536)
79.004765,337.456379,456315.30226597545,-1104019.2005413477,553.4781,58452.57060174028,-0.0063803,0.0028795,POINT (456315.3022659754 -1104019.200541348)
79.00465600000001,337.45783,456347.811782858,-1104018.6533462042,553.6414,58485.08472344856,-0.0065937,0.002984,POINT (456347.811782858 -1104018.653346204)
79.00454599999999,337.45928100000003,456380.36331738654,-1104018.2062154387,553.8135,58517.639328746205,-0.006346,0.0038766999999999994,POINT (456380.3633173865 -1104018.206215439)
79.004437,337.460733,456412.892637023,-1104017.649180121,554.0277,58550.17341739729,-0.006786,0.004553499999999999,POINT (456412.892637023 -1104017.649180121)
79.004328,337.462183,456445.38368485734,-1104017.1071399837,554.1961,58582.66898627804,-0.0069565,0.0009244,POINT (456445.3836848573 -1104017.107139984)
79.00421899999999,337.463634,456477.8942670918,-1104016.5561972924,554.2793,58615.184236470435,-0.005718,0.0,POINT (456477.8942670918 -1104016.556197292)
79.00411,337.465084,456510.3858462413,-1104016.0122855457,554.3388,58647.680367865054,-0.0051015,-0.0002539,POINT (456510.3858462413 -1104016.012285546)
79.004002,337.466535,456542.8551949914,-1104015.358474295,554.4105,58680.15629860469,-0.0057301999999999995,0.0008356,POINT (456542.8551949914 -1104015.358474295)
79.00389399999999,337.467987,456575.34407287714,-1104014.6957596967,554.4969,58712.651934879636,-0.0059076,0.0008243,POINT (456575.3440728771 -1104014.695759697)
79.003785,337.469437,456607.8364436612,-1104014.1490416634,554.5775,58745.148904888796,-0.0057112,0.00026319999999999995,POINT (456607.8364436612 -1104014.149041663)
79.00367800000001,337.470889,456640.2840724763,-1104013.3834629625,554.6392,58777.60556408952,-0.0063389,-0.0007402999999999999,POINT (456640.2840724763 -1104013.383462962)
79.00357,337.47234100000003,456672.77373150224,-1104012.7179421836,554.6855,58810.102038691046,-0.0076153,-0.0018798999999999999,POINT (456672.7737315022 -1104012.717942184)
79.003462,337.473793,456705.2636508422,-1104012.0514856088,554.6416,58842.59879273022,-0.0085582,-0.007393899999999999,POINT (456705.2636508422 -1104012.051485609)
79.00335600000001,337.47524599999997,456737.6895388484,-1104011.174142563,554.5117,58875.036547643474,-0.0096202,-0.008503299999999998,POINT (456737.6895388484 -1104011.174142563)
79.003249,337.476698,456770.13819090766,-1104010.404827369,554.2879,58907.49431815116,-0.008346600000000001,-0.013111500000000002,POINT (456770.1381909077 -1104010.404827369)
79.00314300000001,337.478152,456802.583850011,-1104009.5176455423,553.9614,58939.95210437024,-0.0093986,-0.0149589,POINT (456802.583850011 -1104009.517645542)
79.003037,337.479607,456835.04902758496,-1104008.6215564914,553.6188,58972.429646310724,-0.010074600000000001,-0.0147452,POINT (456835.049027585 -1104008.621556491)
