,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,ATM_elev_Sm,ATM_elev_SupSm
3116,78.91774699999998,340.112735,511027.79171602783,-1090296.597946105,27.3396,115510.52278978904,28.3555,28.33815
3117,78.91783199999998,340.123352,511225.8719867404,-1090193.4729237792,27.6975,115733.83997201039,28.3136,28.3375
3118,78.91785,340.124865,511253.8249759195,-1090178.1913385969,27.9644,115765.69741148273,28.3001,28.3338
3119,78.91787,340.126377,511281.66566149634,-1090162.7200356626,28.5433,115797.54807847526,28.2695,28.3273
3120,78.917891,340.127888,511309.440444265,-1090147.1579852195,28.2363,115829.38541460494,28.2568,28.31995
3121,78.917913,340.1293970000001,511337.1302908094,-1090131.51411694,27.8987,115861.18884549543,28.2568,28.314799999999998
3122,78.917937,340.130905,511364.70780017844,-1090115.6805534568,28.084,115892.98854290873,28.2568,28.30835
3123,78.917962,340.132413,511392.2384068693,-1090099.747335835,28.3136,115924.79737389245,28.2484,28.3016
3124,78.917988,340.1339200000001,511419.70307750616,-1090083.723393727,28.2475,115956.594777149,28.2475,28.30005
3125,78.918015,340.135424,511447.06375456357,-1090067.6265851324,28.2695,115988.3392868472,28.2475,28.29625
3126,78.918044,340.1369279999999,511474.3310764722,-1090051.3311832373,28.3555,116020.10478648117,28.2475,28.292450000000002
3127,78.918074,340.138432,511501.5514614965,-1090034.9361482307,28.3709,116051.8812956308,28.2363,28.29
3128,78.91810500000003,340.139936,511528.72490183346,-1090018.4414838036,28.3001,116083.66918348617,28.2214,28.29
3129,78.918137,340.141437,511555.79431732104,-1090001.8739786437,28.2037,116115.40615690936,28.2214,28.29
3130,78.91816999999998,340.142939,511582.8357980977,-1089985.1979254638,28.1913,116147.17614954794,28.2214,28.29
3131,78.918204,340.1444370000001,511609.7542178058,-1089968.4579729105,28.2082,116178.87516106358,28.2363,28.29
3132,78.91824,340.145936,511636.5982416012,-1089951.5105348555,28.2568,116210.62129894135,28.2214,28.29
3133,78.918276,340.1474330000001,511663.4036830149,-1089934.580298877,28.3381,116242.325629555,28.211,28.29
3134,78.918314,340.14893,511690.1156851586,-1089917.4515178702,28.2925,116274.05772997894,28.2126,28.29
3135,78.918352,340.1504240000001,511716.7700745877,-1089900.34887873,28.2484,116305.72722226092,28.2126,28.29
3136,78.918391,340.151921,511743.4345291446,-1089883.1198541657,28.2214,116337.47359881418,28.211,28.29
3137,78.91843,340.153413,511770.00332409295,-1089865.934840876,28.1871,116369.11574707828,28.211,28.29
3138,78.91847,340.154906,511796.5441303336,-1089848.6413112108,28.1427,116400.79350842892,28.211,28.29
3139,78.918511,340.156398,511823.01889693475,-1089831.25713344,28.1814,116432.46562397793,28.2091,28.29
3140,78.918552,340.157889,511849.4740844893,-1089813.8812496036,28.1964,116464.11682123244,28.2082,28.29
3141,78.918593,340.15938,511875.92871443526,-1089796.5047271831,28.1884,116495.7679029991,28.2082,28.29
3142,78.918635,340.160869,511902.298273724,-1089779.0465004044,28.211,116527.39294591366,28.2091,28.29
3143,78.918677,340.162359,511928.6862913732,-1089761.5787045106,28.2368,116559.03866235125,28.211,28.29
3144,78.918719,340.163846,511955.0166879649,-1089744.1370793406,28.1874,116590.62188690538,28.2126,28.29
3145,78.918761,340.165335,511981.3845628161,-1089726.6769502494,28.1756,116622.24657555296,28.2126,28.29
3146,78.918803,340.166824,512007.75187605893,-1089709.2161869342,28.2126,116653.87114611431,28.2126,28.29
3147,78.91884399999998,340.16831,512034.1080569437,-1089691.88052794,28.1765,116685.41751426645,28.2126,28.29
3148,78.918886,340.169797,512060.4362135879,-1089674.4363706792,28.2091,116717.00026992262,28.2126,28.29
3149,78.918927,340.171283,512086.79128221393,-1089657.0994447458,28.2348,116748.54640507557,28.2126,28.29
3150,78.918968,340.172769,512113.1457961227,-1089639.76188499,28.2142,116780.09242513616,28.2142,28.29
3151,78.919009,340.174255,512139.49975529825,-1089622.4236914318,28.1893,116811.63833010153,28.2348,28.29
3152,78.919049,340.175741,512165.899657935,-1089605.1837865077,28.2004,116843.16877857626,28.2368,28.29
3153,78.919089,340.177226,512192.2799940346,-1089587.9521848334,28.2864,116874.6783045802,28.2579,28.29
3154,78.919128,340.178711,512218.7062844135,-1089570.8188679002,28.3418,116906.17273856974,28.2579,28.29
3155,78.919167,340.180196,512245.1320308484,-1089553.6849133037,28.2924,116937.66706305467,28.2579,28.29
3156,78.919205,340.18168,512271.58472577424,-1089536.6581794622,28.276,116969.12584138672,28.2579,28.29
3157,78.91924300000002,340.1831640000001,512298.0368824394,-1089519.630806491,28.3369,117000.58451304547,28.2579,28.29
3158,78.91928,340.1846490000001,512324.55402980646,-1089502.6927678143,28.3382,117032.04967248744,28.2579,28.29
3159,78.919318,340.186133,512351.00511216506,-1089485.6641149642,28.2876,117063.50813360412,28.2579,28.29
3160,78.919354,340.187617,512377.5486935977,-1089468.8326484987,28.2819,117094.93837347988,28.2579,28.29
3161,78.91939,340.189101,512404.09174694476,-1089452.0005381266,28.3463,117126.36851220953,28.2579,28.29
3162,78.919426,340.190585,512430.6342721933,-1089435.167783864,28.3613,117157.79854979506,28.2579,28.29
3163,78.919462,340.192068,512457.1572553861,-1089418.3433297917,28.3,117189.20763912091,28.2579,28.292450000000002
3164,78.91949699999998,340.193552,512483.74525360257,-1089401.6081961505,28.2632,117220.62397797748,28.2579,28.29625
3165,78.91953199999998,340.195036,512510.33272879146,-1089384.8724162441,28.2579,117252.04021845914,28.2579,28.29625
3166,78.919567,340.196519,512536.9006678705,-1089368.1449355462,28.2252,117283.43550468807,28.2579,28.29625
3167,78.919601,340.198001,512563.4956083062,-1089351.524659724,28.1722,117314.79669766901,28.2579,28.30005
3168,78.919636,340.199485,512590.0815177463,-1089334.7869413022,28.107,117346.21264582773,28.2579,28.30685
3169,78.91967,340.200968,512616.6944336221,-1089318.1564253685,28.0811,117377.59450924664,28.2579,28.32525
3170,78.91970400000002,340.20245,512643.2878201917,-1089301.5342090663,28.0961,117408.95541299687,28.2579,28.32525
3171,78.919738,340.203933,512669.8997015226,-1089284.9023982594,28.1336,117440.33708533435,28.2579,28.3375
3172,78.919772,340.205416,512696.51106541656,-1089268.2699398026,28.1651,117471.71866213686,28.2579,28.33815
3173,78.91980600000002,340.206899,512723.1219118514,-1089251.6368337136,28.1969,117503.10014339804,28.2579,28.34
