ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW
79.21215500000001,334.848567,397916.2030612105,-1102322.1149244064,891.6397,0.0,0.0025285,-0.0036073
79.212039,334.850146,397950.88495726883,-1102323.068921348,891.4861,34.695014402140764,0.0030112,-0.0038407
79.211923,334.85172400000005,397985.547969724,-1102324.028792245,891.3228,69.3713144441787,0.0039455,-0.0034233
79.21180799999999,334.853304,398020.2127118901,-1102324.8709377716,891.1725,104.04628464649237,0.0049700000000000005,-0.0023934
79.211692,334.85488399999997,398054.9149109663,-1102325.8147716827,891.0138,138.76131659484247,0.005104,-0.0031355
79.211577,334.856465,398089.5995949038,-1102326.6478253233,890.8733,173.45600319400032,0.0039726,-0.0016872
79.211462,334.858046,398124.28462866874,-1102327.4798062765,890.7564,208.15101378025577,0.0038606,-0.002464
79.21134599999999,334.859628,398159.0263670659,-1102328.4065221464,890.639,242.90510978576904,0.0033419000000000005,-0.00159
79.21123,334.86121,398193.76846094587,-1102329.332162061,890.5479,277.65953247433606,0.0033981000000000003,-0.0013454
79.211115,334.862793,398228.4930283013,-1102330.1470208107,890.4755,312.39365939301183,0.0038859000000000003,-0.0005292999999999999
79.211,334.864378,398263.2564240222,-1102330.9469023636,890.3963,347.16625625530673,0.0048868,-0.0011095
79.210884,334.865964,398298.0765358075,-1102331.8415074514,890.3051,381.99785832878456,0.004575899999999999,-0.0006827999999999999
79.210769,334.867549,398332.8406339208,-1102332.6392321028,890.2375,416.77110784978356,0.0039012,-0.0003123
79.210654,334.869134,398367.60508174583,-1102333.4358790831,890.1828,451.5446822848409,0.0042674,-0.00015959999999999998
79.210539,334.870722,398402.4275973407,-1102334.2105880752,890.1071,486.3758144280653,0.0062882,-0.00043710000000000005
79.21042299999999,334.87231,398437.28760103625,-1102335.08696446,890.0385,521.2468323831018,0.0058613,0.0010202
79.210308,334.873897,398472.09157952125,-1102335.866464369,890.0043,556.0595389497008,0.0053349,0.0011052999999999998
79.210192,334.87548599999997,398506.97153053293,-1102336.7337203093,889.9873,590.9502700317988,0.006099,0.0022217
79.210077,334.877075,398541.81468997645,-1102337.4971458951,889.9997,625.8017919301597,0.0069961,0.0035163000000000004
79.209962,334.878664,398576.6581990457,-1102338.259488835,890.0049,660.6536396719353,0.007322499999999999,0.0020763
79.209846,334.880254,398611.5584498021,-1102339.1165357206,889.9605,695.5644121100355,0.0068771,0.0010986
79.209731,334.881845,398646.4411398106,-1102339.862796315,889.9293,730.4550837444933,0.0053052,0.0021141
79.209616,334.88343599999996,398681.32417939714,-1102340.6079717774,889.9178,765.3460816847321,0.0051026000000000005,0.0011777
79.2095,334.885027,398716.2447297581,-1102341.4548027336,889.8717,800.2768984542037,0.005347600000000001,0.0006604
79.209385,334.886619,398751.14771075995,-1102342.1908473398,889.8672,835.1876395588565,0.0045187,0.0030538
79.20926999999999,334.888211,398786.0510412652,-1102342.9258055382,889.902,870.0987072009616,0.0059352,0.0027021000000000002
79.209154,334.889803,398820.99189105514,-1102343.762414914,889.9209,905.0495712716986,0.0057898,0.0029295000000000002
79.20904,334.891396,398855.87799019186,-1102344.3855012835,889.9237,939.9412343103262,0.005430699999999999,0.0013898
79.208924,334.892988,398890.8195445602,-1102345.219935114,889.938,974.8927507508824,0.0056436,0.0032045999999999997
79.208809,334.89458199999996,398925.76275475224,-1102345.936620731,889.9834,1009.8433097850018,0.0065132,0.0038629
79.208694,334.89617599999997,398960.7063143304,-1102346.6522174107,889.9995,1044.7941958195531,0.0067075,0.0022757
