,dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06,slope_ATM,slope_ATL06,residuals
41,56714.513764578885,27.2003,1648.0,33.559290000000004,2018-11-20 14:21:44,116326.0,gt2r,,,6.358990000000006
42,53582.32386413439,40.16055,1553.0,39.9023115,2018-11-20 14:21:44,120304.0,gt3l,-0.0017078264126182351,-0.004171621064554326,-0.2582384999999974
43,53484.30453455664,40.32795,1550.0,40.311211,2018-11-20 14:21:44,124261.0,gt3r,,,-0.01673900000000117
44,98609.87669248592,267.22395,2897.0,239.34565,2018-11-23 03:49:31,43116.0,gt1l,0.0,-0.013043023683141948,-27.878299999999996
45,98676.19030357887,267.22395,2899.0,238.48072,2018-11-23 03:49:31,47063.0,gt1r,,,-28.74323000000001
46,101964.3983054915,317.899,2985.0,308.69919,2018-11-23 03:49:31,50988.0,gt2l,,,-9.199810000000014
47,101964.3983054915,317.899,2985.0,310.19145499999996,2018-11-23 03:49:31,54928.0,gt2r,,,-7.707545000000039
48,104998.92026576377,423.5294,3063.0,430.94732999999997,2018-11-23 03:49:31,58829.0,gt3l,0.0,-0.006319264633391717,7.417929999999956
49,105092.18744702496,423.5294,3066.0,430.35795,2018-11-23 03:49:31,62804.0,gt3r,,,6.828550000000007
50,76718.7368107076,96.6479,2241.0,76.0026125,2018-11-24 14:13:17,594528.0,gt1l,0.0061331174576043455,0.053070804165121895,-20.64528750000001
51,76619.99420481651,96.0423,2238.0,70.76226299999998,2018-11-24 14:13:17,598414.0,gt1r,,,-25.28003700000002
52,73345.10181575619,39.4049,2138.0,29.19125,2018-11-24 14:13:17,602286.0,gt2l,0.01079328126384885,-0.00029712250868467937,-10.213649999999998
53,73279.19970660034,38.6936,2136.0,29.210831,2018-11-24 14:13:17,606198.0,gt2r,,,-9.482769000000005
54,69990.64504146116,27.0388,2035.0,30.026967,2018-11-24 14:13:17,610105.0,gt3l,-0.0,0.016476189917209182,2.9881670000000007
55,69925.73777191804,27.0388,2033.0,28.9575425,2018-11-24 14:13:17,614007.0,gt3r,,,1.9187425000000005
56,114859.32584573295,572.4259,3374.0,,2018-11-27 03:41:06,178852.0,gt1r,,,
57,93957.51885751846,277.33005,2757.0,256.94791000000004,2018-11-28 14:04:55,547443.0,gt1l,-0.02702651162469503,-0.02161999411305849,-20.382139999999993
58,93891.685352081,279.1093,2755.0,258.37123,2018-11-28 14:04:55,551427.0,gt1r,,,-20.738069999999993
59,90471.37877250878,274.95815000000005,2649.0,252.58961500000004,2018-11-28 14:04:55,555344.0,gt2l,0.003761335367031197,0.016733225730236584,-22.36853500000001
60,90375.44209981457,274.5973,2646.0,250.984285,2018-11-28 14:04:55,559292.0,gt2r,,,-23.61301500000002
61,86901.48228143204,150.5685,2541.0,118.044138,2018-11-28 14:04:55,563185.0,gt3l,0.08596975046519666,0.010071439127804468,-32.524361999999996
62,86833.83872112702,144.7532,2539.0,117.36287000000002,2018-11-28 14:04:55,567095.0,gt3r,,,-27.390329999999977
63,105401.16011103721,423.5294,3076.0,,2018-12-02 13:56:37,375040.0,gt3r,,,
64,44259.74658265778,27.7577,1292.0,50.990097999999996,2018-12-10 02:50:30,64512.0,gt1l,0.0,-0.002715533302238582,23.232397999999996
65,44325.88570893988,27.7577,1294.0,50.810495,2018-12-10 02:50:30,65897.0,gt1r,,,23.052795000000003
66,47528.29997926797,40.27275,1392.0,64.78059,2018-12-10 02:50:30,68112.0,gt2l,0.005584420680382197,-0.03274801393974873,24.50784
67,47593.38282685443,40.6362,1394.0,62.64925600000001,2018-12-10 02:50:30,70343.0,gt2r,,,22.013056000000006
68,50815.18202875862,45.5343,1492.0,68.868525,2018-12-10 02:50:30,73406.0,gt3l,-0.0013007986706633186,0.0010233186574716863,23.334225000000004
69,50913.62155125191,45.40625,1495.0,68.96925999999999,2018-12-10 02:50:30,76477.0,gt3r,,,23.56300999999999
70,60830.05061858984,27.0861,1773.0,28.6404585,2018-12-14 02:42:09,232149.0,gt1l,0.0,0.0008821235885377648,1.5543585000000029
71,60929.600161466886,27.0861,1776.0,28.7282735,2018-12-14 02:42:09,236063.0,gt1r,,,1.642173500000002
72,64116.15473568332,27.054000000000002,1873.0,28.8712145,2018-12-14 02:42:09,239995.0,gt2l,-9.945090359781912e-06,0.005029415796607885,1.8172144999999986
73,64181.51361895992,27.05335,1875.0,29.1999315,2018-12-14 02:42:09,243939.0,gt2r,,,2.1465815000000035
74,67409.21598193189,27.06075,1956.0,28.5337885,2018-12-14 02:42:09,247852.0,gt3l,-3.3916414111942795e-05,-0.002115932021730229,1.4730385000000012
75,67475.55554225728,27.0585,1958.0,28.39341850000001,2018-12-14 02:42:09,251772.0,gt3r,,,1.3349185000000112
76,77148.18081647238,103.25375,2254.0,82.499975,2018-12-18 02:33:52,282215.0,gt1l,0.011755071427120229,-0.03644516383512917,-20.75377499999999
77,77214.58619774459,104.03435,2256.0,80.07982000000001,2018-12-18 02:33:52,286085.0,gt1r,,,-23.95452999999999
78,80327.2272679578,128.69835,2348.0,102.258875,2018-12-18 02:33:52,289972.0,gt2l,0.0074233807465524234,0.06548696540405706,-26.439475
79,80395.24210071907,129.20325,2350.0,106.71296000000001,2018-12-18 02:33:52,293904.0,gt2r,,,-22.490289999999987
80,83528.55282045584,138.2013,2442.0,114.06349,2018-12-18 02:33:52,297830.0,gt3l,0.0,0.0013555066488095712,-24.13781
81,83596.76532246105,138.2013,2444.0,114.15595249999998,2018-12-18 02:33:52,301761.0,gt3r,,,-24.04534750000002
82,54601.31779332807,27.27765,1584.0,27.5615855,2018-12-19 12:57:40,78969.0,gt1l,-0.0,-0.0003208313444614838,0.28393549999999834
83,54535.22699401545,27.27765,1582.0,27.5827895,2018-12-19 12:57:40,82916.0,gt1r,,,0.30513949999999923
84,51012.02920763998,45.51825,1498.0,46.454076,2018-12-19 12:57:40,86862.0,gt2l,,,0.9358259999999987
85,51012.02920763998,45.51825,1498.0,46.25047650000001,2018-12-19 12:57:40,90829.0,gt2r,,,0.7322265000000101
86,48180.60004727036,42.052,1412.0,41.024231,2018-12-19 12:57:40,94707.0,gt3l,0.002948530352191171,-0.0008713503419641403,-1.0277689999999993
87,48082.483370335016,41.7627,1409.0,41.109725,2018-12-19 12:57:40,98539.0,gt3r,,,-0.652975000000005
88,93203.92630290016,295.35275,2734.0,274.34194,2018-12-22 02:25:33,524771.0,gt1l,-0.034905500906197484,-0.01594947103144963,-21.010809999999992
89,93269.1237629256,293.077,2736.0,273.302075,2018-12-22 02:25:33,528733.0,gt1r,,,-19.774924999999996
90,96417.32084821381,264.9956,2831.0,250.11621,2018-12-22 02:25:33,532656.0,gt2l,0.0051023835346777685,0.0169926057898194,-14.87939000000003
91,96484.14255961256,265.33655,2833.0,251.251685,2018-12-22 02:25:33,536624.0,gt2r,,,-14.08486499999998
92,99640.31314803989,275.4149,2928.0,264.08408999999995,2018-12-22 02:25:33,540515.0,gt3l,0.043606292625380766,0.027807403167835542,-11.330810000000042
93,99739.89166615203,279.75715,2931.0,266.85311,2018-12-22 02:25:33,544463.0,gt3r,,,-12.904040000000009
94,71093.55255372214,27.02715,2069.0,30.1513235,2018-12-23 12:49:22,207117.0,gt1l,-0.0,0.007866480337295702,3.1241735000000013
95,71028.66394050335,27.02715,2067.0,29.6408785,2018-12-23 12:49:22,211041.0,gt1r,,,2.6137285000000006
96,67641.22957756401,27.0585,1963.0,28.843839000000006,2018-12-23 12:49:22,214928.0,gt2l,-0.0,0.0022630637325588648,1.7853390000000076
97,67575.00298489508,27.0585,1961.0,28.693964,2018-12-23 12:49:22,218807.0,gt2r,,,1.6354640000000025
98,64377.71674547341,27.04815,1881.0,29.401429,2018-12-23 12:49:22,222719.0,gt3l,-3.976484096138034e-05,-0.020615087675395376,2.3532790000000006
99,64312.33235219679,27.05075,1879.0,30.749334,2018-12-23 12:49:22,226641.0,gt3r,,,3.6985840000000003
100,109306.57688745928,492.0015,3202.0,480.44798,2018-12-26 02:17:13,129273.0,gt1l,0.05189330033055645,0.08776762474139592,-11.553520000000049
