# Filename: 20180418_134700_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134700.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49622.75, 78.916499, 339.998003, 34.1947, -0.0820064, -0.0037134, 165.58, 1816, 0, 97, 1
49622.75, 78.917601, 339.997391, 28.5568, -0.0038014, 0.0001630, 22.93, 975, 27, -26, 2
49622.75, 78.918703, 339.996779, 28.5650, 0.0009834, 0.0060314, 14.57, 1585, 25, -149, 3
49622.75, 78.917367, 339.997520, 28.6369, -0.0045788, 0.0037880, 23.48, 631, 15, 0, 0
49623.00, 78.916593, 339.999493, 32.5992, -0.0839554, -0.0408664, 97.55, 1832, 5, 90, 1
49623.00, 78.917698, 339.998885, 28.5921, -0.0002187, 0.0024957, 39.51, 899, 122, -34, 2
49623.00, 78.918804, 339.998277, 28.8284, -0.0002889, 0.0075198, 28.16, 1572, 32, -157, 3
49623.00, 78.917398, 339.999050, 28.5787, -0.0045456, -0.0054871, 26.10, 659, 14, 0, 0
49623.25, 78.916690, 340.000982, 30.1659, -0.0538861, -0.0880735, 132.58, 1889, 0, 83, 1
49623.25, 78.917799, 340.000380, 29.8505, 0.0319506, 0.0056609, 151.73, 1029, 6, -41, 2
49623.25, 78.918907, 339.999778, 28.6500, -0.0032306, -0.0147525, 27.66, 1509, 50, -165, 3
49623.25, 78.917429, 340.000580, 28.4444, 0.0025135, -0.0017201, 23.95, 672, 26, 0, 0
49623.50, 78.916784, 340.002471, 28.4112, -0.0024142, -0.0062422, 18.95, 1677, 191, 76, 1
49623.50, 78.917898, 340.001879, 29.1686, 0.0060717, -0.0310771, 118.35, 984, 27, -49, 2
49623.50, 78.919012, 340.001286, 28.2833, -0.0013131, -0.0030914, 17.03, 1502, 32, -174, 3
49623.50, 78.917460, 340.002112, 28.4714, 0.0058272, 0.0033669, 17.82, 659, 20, 0, 0
49623.75, 78.916876, 340.003965, 28.3193, -0.0004480, 0.0007126, 13.49, 1841, 19, 69, 1
49623.75, 78.917993, 340.003381, 28.5828, -0.0016648, 0.0024122, 26.25, 915, 77, -56, 2
49623.75, 78.919110, 340.002797, 28.2103, -0.0017829, -0.0007774, 13.96, 1507, 45, -181, 3
49623.75, 78.917490, 340.003644, 28.5541, 0.0067656, 0.0001019, 13.47, 687, 1, 0, 0
49624.00, 78.916977, 340.005458, 28.3355, -0.0006247, 0.0000000, 17.68, 1867, 5, 61, 1
49624.00, 78.918088, 340.004885, 28.4919, -0.0018271, -0.0088716, 27.71, 916, 71, -64, 2
49624.00, 78.919199, 340.004311, 28.1587, 0.0004274, 0.0001809, 14.87, 1485, 63, -188, 3
49624.00, 78.917519, 340.005179, 28.4843, 0.0033119, -0.0049273, 16.44, 680, 22, 0, 0
49624.25, 78.917074, 340.006950, 28.3031, 0.0001463, -0.0024482, 20.06, 1885, 1, 53, 1
49624.25, 78.918178, 340.006395, 28.2612, -0.0031616, -0.0042403, 24.43, 881, 92, -70, 2
49624.25, 78.919281, 340.005840, 28.1636, 0.0015894, -0.0010661, 20.43, 1383, 173, -194, 3
49624.25, 78.917548, 340.006712, 28.4189, 0.0001817, 0.0022907, 17.60, 680, 28, 0, 0
49624.50, 78.917162, 340.008449, 28.2426, 0.0020235, -0.0041446, 17.24, 1930, 6, 46, 1
49624.50, 78.918260, 340.007911, 29.8489, 0.0627154, 0.0520600, 241.45, 977, 19, -76, 2
49624.50, 78.919357, 340.007373, 31.2350, -0.0490389, 0.1072076, 174.56, 1519, 15, -199, 3
49624.50, 78.917576, 340.008246, 28.3488, 0.0011216, -0.0064571, 20.30, 762, 2, 0, 0
49624.75, 78.917240, 340.009955, 28.1682, 0.0007519, 0.0015297, 11.63, 1857, 56, 41, 1
49624.75, 78.918333, 340.009437, 32.3101, 0.1257271, 0.0021298, 307.80, 1034, 0, -82, 2
49624.75, 78.919427, 340.008918, 33.5764, -0.1027274, 0.0241649, 216.66, 1479, 14, -204, 3
49624.75, 78.917603, 340.009783, 28.2018, 0.0024386, -0.0004598, 13.53, 770, 30, 0, 0
49625.00, 78.917307, 340.011471, 28.2762, 0.0006157, 0.0053325, 12.63, 1845, 42, 36, 1
