# Filename: ILATM2_20140429_160009_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20140429_160009.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 140429_aa_l12_cfm_itrf08_05jun14_b898
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
57596.75, 78.920701, 340.322896, 46.9991, -0.0008105, 0.0184778, 6.15, 588, 2, 18, 1
57596.75, 78.919888, 340.322936, 47.1658, -0.0007268, 0.0178872, 9.27, 335, 0, -73, 2
57596.75, 78.919074, 340.322977, 47.0120, 0.0015268, 0.0151452, 7.96, 588, 0, -163, 3
57596.75, 78.920541, 340.322904, 47.0236, -0.0016302, 0.0201757, 6.27, 366, 0, 0, 0
57597.00, 78.920742, 340.321348, 46.3279, 0.0009497, 0.0209341, 5.86, 590, 1, 23, 1
57597.00, 78.919917, 340.321389, 46.4596, -0.0023196, 0.0236741, 7.21, 342, 0, -69, 2
57597.00, 78.919092, 340.321430, 46.4538, 0.0020287, 0.0190894, 7.60, 587, 1, -161, 3
57597.00, 78.920539, 340.321358, 46.3241, -0.0005206, 0.0221838, 5.82, 360, 0, 0, 0
57597.25, 78.920795, 340.319802, 45.5791, 0.0029742, 0.0240961, 7.35, 591, 2, 29, 1
57597.25, 78.919956, 340.319834, 45.5934, -0.0024382, 0.0274633, 8.30, 342, 1, -65, 2
57597.25, 78.919117, 340.319866, 45.7036, 0.0010042, 0.0254221, 8.77, 581, 1, -158, 3
57597.25, 78.920537, 340.319812, 45.5207, 0.0013836, 0.0261773, 8.39, 346, 0, 0, 0
57597.50, 78.920864, 340.318259, 44.7574, 0.0035154, 0.0269124, 6.77, 576, 5, 37, 1
57597.50, 78.920013, 340.318283, 44.6976, -0.0027157, 0.0252239, 13.05, 347, 3, -58, 2
57597.50, 78.919161, 340.318308, 44.9030, -0.0002737, 0.0211663, 14.07, 586, 2, -153, 3
57597.50, 78.920535, 340.318268, 44.6581, 0.0025604, 0.0257013, 9.61, 331, 1, 0, 0
57597.75, 78.920935, 340.316713, 44.0454, -0.0004809, 0.0192327, 10.96, 566, 11, 45, 1
57597.75, 78.920079, 340.316735, 44.2442, -0.0044751, 0.0026963, 11.30, 362, 0, -51, 2
57597.75, 78.919223, 340.316757, 44.6049, -0.0030117, -0.0057597, 12.82, 592, 2, -146, 3
57597.75, 78.920533, 340.316723, 44.0911, -0.0006772, 0.0095808, 11.06, 325, 4, 0, 0
57598.00, 78.921010, 340.315165, 43.6481, -0.0085137, 0.0079073, 15.26, 564, 4, 53, 1
57598.00, 78.920151, 340.315186, 44.3039, -0.0064658, -0.0079495, 8.98, 369, 1, -42, 2
57598.00, 78.919293, 340.315208, 44.8607, -0.0054333, -0.0124063, 7.36, 600, 0, -138, 3
57598.00, 78.920532, 340.315177, 44.0380, -0.0066626, -0.0052130, 10.82, 316, 3, 0, 0
57598.25, 78.921078, 340.313624, 43.5563, -0.0134350, -0.0041069, 9.76, 562, 1, 61, 1
