# Filename: 20180418_134300_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134300.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49383.00, 78.942723, 338.562810, 249.3497, 0.0159638, 0.0124700, 26.99, 1711, 55, 105, 1
49383.00, 78.943784, 338.564199, 250.7377, 0.0005745, 0.0261390, 34.31, 946, 7, -16, 2
49383.00, 78.944845, 338.565588, 251.1011, -0.0034129, 0.0419645, 30.57, 1572, 2, -138, 3
49383.00, 78.943640, 338.564011, 250.6191, 0.0033676, 0.0171438, 19.75, 587, 24, 0, 0
49383.25, 78.942682, 338.564288, 249.5074, 0.0140210, 0.0053860, 27.87, 1691, 60, 102, 1
49383.25, 78.943747, 338.565685, 251.5667, 0.0090649, 0.0261175, 29.44, 958, 8, -20, 2
49383.25, 78.944812, 338.567082, 252.1446, -0.0034937, 0.0207283, 30.20, 1557, 24, -142, 3
49383.25, 78.943571, 338.565453, 251.2980, 0.0134131, 0.0276199, 21.97, 622, 8, 0, 0
49383.50, 78.942635, 338.565758, 249.3732, 0.0213449, -0.0092799, 33.18, 1771, 9, 99, 1
49383.50, 78.943696, 338.567153, 251.9093, 0.0120402, 0.0004258, 35.37, 871, 4, -22, 2
49383.50, 78.944757, 338.568549, 252.3283, 0.0018192, -0.0105723, 36.59, 1527, 5, -144, 3
49383.50, 78.943501, 338.566896, 251.7083, 0.0192248, 0.0085183, 28.93, 551, 5, 0, 0
49383.75, 78.942589, 338.567226, 248.9845, 0.0233143, -0.0085456, 31.62, 1727, 21, 97, 1
49383.75, 78.943651, 338.568631, 251.4711, 0.0131730, -0.0276369, 31.86, 845, 7, -25, 2
49383.75, 78.944713, 338.570036, 251.6015, 0.0037363, -0.0418521, 33.46, 1486, 26, -147, 3
49383.75, 78.943431, 338.568340, 251.3500, 0.0231162, -0.0268744, 28.49, 542, 4, 0, 0
49384.00, 78.942544, 338.568699, 248.3250, 0.0174057, -0.0153297, 35.77, 1684, 22, 94, 1
49384.00, 78.943608, 338.570114, 250.0859, 0.0183996, -0.0539019, 22.61, 856, 6, -28, 2
49384.00, 78.944673, 338.571528, 250.3032, 0.0017261, -0.0430375, 32.30, 1500, 20, -151, 3
49384.00, 78.943361, 338.569784, 249.9472, 0.0242755, -0.0517706, 24.09, 564, 1, 0, 0
49384.25, 78.942500, 338.570175, 247.6472, 0.0038924, -0.0100992, 30.25, 1664, 32, 91, 1
49384.25, 78.943566, 338.571596, 248.4619, 0.0139245, -0.0421796, 21.99, 898, 6, -32, 2
49384.25, 78.944633, 338.573017, 248.7390, 0.0039284, -0.0623291, 26.65, 1456, 35, -154, 3
49384.25, 78.943290, 338.571228, 248.3214, 0.0118088, -0.0422421, 21.74, 582, 3, 0, 0
49384.50, 78.942454, 338.571648, 247.3106, -0.0077703, -0.0011130, 27.21, 1653, 48, 88, 1
49384.50, 78.943522, 338.573078, 247.1096, 0.0100956, -0.0392027, 23.95, 969, 13, -35, 2
49384.50, 78.944591, 338.574508, 246.7773, 0.0036457, -0.0632602, 25.72, 1433, 51, -158, 3
49384.50, 78.943219, 338.572672, 247.1152, 0.0036420, -0.0338204, 15.75, 639, 1, 0, 0
49384.75, 78.942413, 338.573126, 247.2791, -0.0175601, 0.0028335, 44.40, 1639, 63, 84, 1
49384.75, 78.943485, 338.574571, 245.6011, 0.0055964, -0.0518210, 28.43, 921, 44, -39, 2
49384.75, 78.944557, 338.576015, 244.2721, 0.0127300, -0.0883717, 27.88, 1440, 59, -162, 3
49384.75, 78.943148, 338.574116, 245.9689, -0.0026259, -0.0404455, 25.39, 618, 15, 0, 0
49385.00, 78.942369, 338.574606, 246.7567, -0.0201258, -0.0296238, 41.58, 1628, 91, 81, 1
49385.00, 78.943444, 338.576059, 243.5997, -0.0057767, -0.0685059, 49.75, 936, 35, -42, 2
49385.00, 78.944519, 338.577512, 241.0039, 0.0217508, -0.1041582, 35.41, 1455, 39, -166, 3
49385.00, 78.943076, 338.575561, 244.5531, -0.0167632, -0.0542501, 31.90, 646, 7, 0, 0
49385.25, 78.942328, 338.576086, 245.4722, -0.0184002, -0.0502816, 35.15, 1665, 75, 78, 1
49385.25, 78.943406, 338.577552, 241.0567, -0.0172461, -0.0862062, 54.26, 902, 19, -46, 2
49385.25, 78.944484, 338.579018, 237.5985, 0.0271022, -0.0925045, 43.82, 1498, 5, -170, 3
49385.25, 78.943003, 338.577005, 242.8274, -0.0249202, -0.0632452, 35.38, 610, 26, 0, 0
49385.50, 78.942277, 338.577550, 243.8972, -0.0131748, -0.0565628, 41.95, 1744, 61, 75, 1
