# Filename: 20180418_134000_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134000.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49202.75, 79.004625, 337.442204, 546.7740, -0.0085408, 0.0103134, 7.97, 1787, 5, 135, 1
49202.75, 79.005375, 337.443893, 546.2853, -0.0097084, 0.0050441, 8.94, 967, 4, 44, 2
49202.75, 79.006125, 337.445581, 545.2073, -0.0171787, -0.0001222, 7.10, 1621, 3, -47, 3
49202.75, 79.005738, 337.444711, 545.8800, -0.0136969, 0.0014633, 8.75, 917, 1, 0, 0
49203.00, 79.004498, 337.443752, 547.2131, -0.0075202, 0.0090555, 8.90, 1715, 14, 135, 1
49203.00, 79.005247, 337.445434, 546.5602, -0.0111389, 0.0029289, 7.65, 976, 7, 44, 2
49203.00, 79.005996, 337.447116, 545.4418, -0.0181396, -0.0026499, 8.60, 1696, 9, -46, 3
49203.00, 79.005612, 337.446254, 546.1228, -0.0132192, 0.0021534, 7.83, 916, 2, 0, 0
49203.25, 79.004376, 337.445309, 547.5850, -0.0099550, 0.0080784, 12.10, 1735, 0, 134, 1
49203.25, 79.005123, 337.446986, 546.8266, -0.0123367, 0.0035196, 7.21, 982, 6, 44, 2
49203.25, 79.005871, 337.448663, 545.6246, -0.0185163, -0.0021236, 9.61, 1739, 2, -47, 3
49203.25, 79.005486, 337.447800, 546.3424, -0.0137393, -0.0001819, 9.90, 917, 1, 0, 0
49203.50, 79.004255, 337.446879, 547.8770, -0.0106418, 0.0030222, 8.58, 1788, 10, 134, 1
49203.50, 79.005002, 337.448546, 547.0727, -0.0130745, 0.0006297, 7.99, 987, 1, 43, 2
49203.50, 79.005749, 337.450212, 545.7889, -0.0167144, -0.0005747, 8.71, 1643, 16, -47, 3
49203.50, 79.005360, 337.449345, 546.4996, -0.0147904, -0.0027089, 8.46, 890, 4, 0, 0
49203.75, 79.004136, 337.448440, 548.1542, -0.0113985, 0.0050597, 8.76, 1846, 2, 133, 1
49203.75, 79.004882, 337.450104, 547.2171, -0.0135192, -0.0028446, 7.72, 986, 2, 43, 2
49203.75, 79.005627, 337.451769, 545.9450, -0.0149220, -0.0021334, 9.61, 1558, 42, -48, 3
49203.75, 79.005234, 337.450892, 546.6340, -0.0143524, -0.0017987, 9.96, 855, 30, 0, 0
49204.00, 79.004016, 337.450013, 548.4592, -0.0133096, 0.0050515, 10.36, 1835, 5, 132, 1
49204.00, 79.004761, 337.451668, 547.3152, -0.0134931, -0.0024811, 8.20, 988, 19, 42, 2
49204.00, 79.005506, 337.453323, 546.0072, -0.0135492, -0.0052544, 10.05, 1636, 52, -48, 3
49204.00, 79.005109, 337.452440, 546.7422, -0.0142314, -0.0043770, 13.52, 919, 22, 0, 0
49204.25, 79.003899, 337.451580, 548.7141, -0.0156693, 0.0020467, 9.70, 1819, 6, 131, 1
49204.25, 79.004642, 337.453231, 547.4302, -0.0141262, -0.0025346, 10.09, 1007, 10, 41, 2
49204.25, 79.005385, 337.454881, 546.0381, -0.0136585, -0.0025137, 8.50, 1690, 40, -49, 3
49204.25, 79.004984, 337.453989, 546.7880, -0.0167528, -0.0052619, 8.51, 918, 31, 0, 0
