# Filename: 20180418_133900_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133900.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49142.50, 79.034528, 337.063889, 641.4378, -0.0025856, -0.0105623, 8.50, 1633, 6, 105, 1
49142.50, 79.035140, 337.065616, 640.8896, -0.0019758, -0.0101864, 8.62, 971, 9, 28, 2
49142.50, 79.035753, 337.067343, 640.5823, 0.0006504, -0.0103558, 6.76, 1617, 5, -50, 3
49142.50, 79.035359, 337.066232, 640.7561, 0.0018656, -0.0092148, 7.75, 1079, 7, 0, 0
49142.75, 79.034365, 337.065386, 641.1686, -0.0029306, -0.0098517, 8.06, 1644, 8, 106, 1
49142.75, 79.034977, 337.067111, 640.6207, -0.0030535, -0.0100156, 8.51, 992, 3, 29, 2
49142.75, 79.035589, 337.068835, 640.2696, 0.0004148, -0.0083449, 7.65, 1645, 0, -49, 3
49142.75, 79.035204, 337.067750, 640.4418, 0.0007033, -0.0093066, 7.48, 1055, 0, 0, 0
49143.00, 79.034200, 337.066874, 640.9294, -0.0037055, -0.0091053, 7.05, 1692, 14, 107, 1
49143.00, 79.034812, 337.068598, 640.3842, -0.0036186, -0.0093837, 8.38, 892, 2, 30, 2
49143.00, 79.035423, 337.070322, 639.9952, 0.0011741, -0.0081134, 7.68, 1620, 3, -47, 3
49143.00, 79.035050, 337.069269, 640.1710, -0.0014622, -0.0080327, 7.84, 990, 0, 0, 0
49143.25, 79.034032, 337.068366, 640.7254, -0.0046106, -0.0083485, 6.72, 1781, 14, 109, 1
49143.25, 79.034645, 337.070089, 640.1727, -0.0031330, -0.0083414, 7.67, 892, 0, 31, 2
49143.25, 79.035259, 337.071811, 639.7121, 0.0004379, -0.0102737, 7.69, 1641, 4, -46, 3
49143.25, 79.034895, 337.070790, 639.9573, -0.0032468, -0.0084021, 7.89, 1009, 0, 0, 0
