ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along
79.21215500000001,334.848567,397916.2030612105,-1102322.1149244064,891.6397,0.0
79.212039,334.850146,397950.88495726883,-1102323.068921348,891.4861,34.695014402140764
79.211923,334.85172400000005,397985.547969724,-1102324.028792245,891.3228,69.3713144441787
79.21180799999999,334.853304,398020.2127118901,-1102324.8709377716,891.1725,104.04628464649237
79.211692,334.85488399999997,398054.9149109663,-1102325.8147716827,891.0138,138.76131659484247
79.211577,334.856465,398089.5995949038,-1102326.6478253233,890.8733,173.45600319400032
79.211462,334.858046,398124.28462866874,-1102327.4798062765,890.7564,208.15101378025577
79.21134599999999,334.859628,398159.0263670659,-1102328.4065221464,890.639,242.90510978576904
79.21123,334.86121,398193.76846094587,-1102329.332162061,890.5479,277.65953247433606
79.211115,334.862793,398228.4930283013,-1102330.1470208107,890.4755,312.39365939301183
79.211,334.864378,398263.2564240222,-1102330.9469023636,890.3963,347.16625625530673
79.210884,334.865964,398298.0765358075,-1102331.8415074514,890.3051,381.99785832878456
79.210769,334.867549,398332.8406339208,-1102332.6392321028,890.2375,416.77110784978356
79.210654,334.869134,398367.60508174583,-1102333.4358790831,890.1828,451.5446822848409
79.210539,334.870722,398402.4275973407,-1102334.2105880752,890.1071,486.3758144280653
79.21042299999999,334.87231,398437.28760103625,-1102335.08696446,890.0385,521.2468323831018
79.210308,334.873897,398472.09157952125,-1102335.866464369,890.0043,556.0595389497008
79.210192,334.87548599999997,398506.97153053293,-1102336.7337203093,889.9873,590.9502700317988
79.210077,334.877075,398541.81468997645,-1102337.4971458951,889.9997,625.8017919301597
79.209962,334.878664,398576.6581990457,-1102338.259488835,890.0049,660.6536396719353
79.209846,334.880254,398611.5584498021,-1102339.1165357206,889.9605,695.5644121100355
79.209731,334.881845,398646.4411398106,-1102339.862796315,889.9293,730.4550837444933
79.209616,334.88343599999996,398681.32417939714,-1102340.6079717774,889.9178,765.3460816847321
79.2095,334.885027,398716.2447297581,-1102341.4548027336,889.8717,800.2768984542037
79.209385,334.886619,398751.14771075995,-1102342.1908473398,889.8672,835.1876395588565
79.20926999999999,334.888211,398786.0510412652,-1102342.9258055382,889.902,870.0987072009616
79.209154,334.889803,398820.99189105514,-1102343.762414914,889.9209,905.0495712716986
79.20904,334.891396,398855.87799019186,-1102344.3855012835,889.9237,939.9412343103262
79.208924,334.892988,398890.8195445602,-1102345.219935114,889.938,974.8927507508824
79.208809,334.89458199999996,398925.76275475224,-1102345.936620731,889.9834,1009.8433097850018
79.208694,334.89617599999997,398960.7063143304,-1102346.6522174107,889.9995,1044.7941958195531
79.208579,334.89776800000004,398995.61174408207,-1102347.380652704,889.9812,1079.70722553806
79.208464,334.899362,399030.55600230844,-1102348.094072665,889.9568,1114.6587655761218
79.208349,334.90095499999995,399065.4813702062,-1102348.813368637,889.969,1149.5915397214847
79.20823299999999,334.902549,399100.46351968567,-1102349.6273406795,890.0036,1184.5831577562092
79.208118,334.904142,399135.3895888814,-1102350.3444594138,890.0217,1219.516588288352
79.208003,334.905737,399170.35448655026,-1102351.04655664,890.0592,1254.4885343238388
79.207888,334.90733,399205.28125406214,-1102351.761498467,890.0994,1289.4226184057889
79.207773,334.908924,399240.22761034616,-1102352.468384367,890.1586,1324.3761233116697
79.207657,334.91051699999997,399275.192283068,-1102353.283874229,890.2234,1359.3503046782475
79.207542,334.912111,399310.1393403439,-1102353.988581481,890.2473,1394.3044664412328
79.207427,334.913705,399345.0867466395,-1102354.6921995871,890.2857,1429.2589552120776
79.207312,334.915298,399380.0152621871,-1102355.401699022,890.3409,1464.1946760119495
79.207197,334.916892,399414.9633664057,-1102356.1031393863,890.3939,1499.1498187960588
79.207082,334.91848500000003,399449.89257978875,-1102356.8104622597,890.4302,1534.0861931529753
79.206967,334.92008,399484.8606215673,-1102357.5027524773,890.4466,1569.0610871709887
79.206852,334.921672,399519.77129288035,-1102358.2148710408,890.4555,1603.9790207349467
79.20673599999999,334.923265,399554.73878270737,-1102359.021645512,890.4346,1638.9558163264512
79.206621,334.92485899999997,399589.6886340103,-1102359.7176404756,890.4414,1673.9125970004206
79.206506,334.926452,399624.61959424726,-1102360.4195209034,890.4492,1708.850608094486
79.206391,334.928045,399659.5509031782,-1102361.1203132353,890.4416,1743.788945970286
79.206276,334.929637,399694.46332092345,-1102361.826993434,890.4459,1778.7085151216913
79.206161,334.93122999999997,399729.3953271262,-1102362.5256101233,890.4515,1813.6475065585926
79.206046,334.93282200000004,399764.3084420538,-1102363.2301158598,890.4658,1848.5677288127538
79.205931,334.934415,399799.24114539556,-1102363.9265568275,890.4454,1883.5073738136018
79.205816,334.93600499999997,399834.1164775885,-1102364.6428448719,890.4175,1918.3900609825882
79.205701,334.937598,399869.04987791285,-1102365.337111266,890.4075,1953.3303595509885
79.205586,334.939189,399903.9451468639,-1102366.044248713,890.3958,1988.2327926829735
79.205471,334.94077999999996,399938.8407641914,-1102366.7503003473,890.373,2023.1355521380694
79.20535600000001,334.94237000000004,399973.71748992114,-1102367.4622470096,890.33,2058.019543676836
79.205241,334.943961,400008.61380389,-1102368.1661275732,890.2862,2092.922955780266
79.205126,334.94555,400043.47198620386,-1102368.8828864207,890.2363,2127.788506363487
79.205011,334.947139,400078.3305167103,-1102369.5985618192,890.1674,2162.6543828094327
79.20489599999999,334.948729,400113.2086353707,-1102370.3061704536,890.0757,2197.5396787271916
79.20478100000001,334.950317,400148.0486221737,-1102371.0266621816,889.971,2232.3871146266106
79.204666,334.95190499999995,400182.8889570472,-1102371.7460716208,889.874,2267.2348761621374
79.204551,334.953492,400217.71039992786,-1102372.4713838655,889.8139,2302.0638721589185
79.204436,334.95507799999996,400252.5129507448,-1102373.2026007208,889.7672,2336.8741037216796
79.204321,334.956664,400287.3158494818,-1102373.9327376608,889.6766,2371.6846604602674
79.204205,334.958249,400322.1371488515,-1102374.7714755356,889.5716,2406.5160596716037
79.20409000000001,334.959835,400356.94074616267,-1102375.4994521795,889.4379,2441.3272695872347
79.203975,334.961419,400391.70621110575,-1102376.2403251592,889.2737,2476.1006278587656
79.20385999999999,334.963002,400426.4527836793,-1102376.9871093351,889.1309,2510.855224565024
79.203745,334.964587,400461.23818417086,-1102377.7188384081,889.01,2545.648320357067
79.20363,334.96616800000004,400495.94697182265,-1102378.4774485608,888.8789,2580.365397273489
79.203515,334.967749,400530.6561070316,-1102379.234984733,888.7091,2615.0827982131796
79.2034,334.969331,400565.3848299288,-1102379.98445572,888.526,2649.8196072322867
79.203285,334.970911,400600.07541999815,-1102380.74683506,888.3418,2684.518573522607
79.20316899999999,334.972491,400634.803675902,-1102381.6108264017,888.1473,2719.2575752233397
79.20305400000001,334.97407000000004,400669.4757234449,-1102382.3780520589,887.9458,2753.938110340668
79.202939,334.975648,400704.12887811195,-1102383.151199674,887.7455,2788.599888794953
79.202823,334.977225,400738.80046673986,-1102384.0329528388,887.5319,2823.2826877971506
79.202708,334.978801,400773.41583827214,-1102384.8179487393,887.2678,2857.906959123505
79.20259300000001,334.980378,400808.05079722946,-1102385.594881138,886.9642,2892.5506310698747
79.202477,334.981952,400842.6657179213,-1102386.494411082,886.662,2927.1772377274874
79.202362,334.983526,400877.243653089,-1102387.2901955394,886.3632,2961.764328865144
79.202246,334.98509900000005,400911.84003601613,-1102388.1945882707,886.0839,2996.37253075219
79.20213100000001,334.986673,400946.4186679856,-1102388.9882408623,885.7913,3030.9602695235435
79.202015,334.988245,400980.99651293975,-1102389.8974993285,885.4649,3065.5500673349197
79.2019,334.989817,401015.5373608755,-1102390.7030186723,885.127,3100.1003066616654
79.201784,334.99138700000003,401050.0774272557,-1102391.624146663,884.7488,3134.6526533594165
79.201669,334.992956,401084.5612504742,-1102392.4485401642,884.3917,3169.146329423438
79.201553,334.994527,401119.1212591333,-1102393.3605428955,884.0643,3203.718369390702
79.201437,334.996095,401153.623898909,-1102394.292485741,883.6824,3238.2335931182415
79.201321,334.997665,401188.1653717547,-1102395.2093638345,883.3004,3272.7872327497666
79.201205,334.999233,401222.6687159621,-1102396.1391841655,882.9292,3307.303103408693
79.201089,335.00080099999997,401257.17241232126,-1102397.0679438151,882.5549,3341.819297534532
79.200973,335.002369,401291.67646079994,-1102397.9956427645,882.1744,3376.3358151276966
79.200857,335.003935,401326.14238038455,-1102398.9362899195,881.7971,3410.814568438738
79.20074,335.005503,401360.68451067153,-1102399.9645323225,881.4048,3445.3719995817196
