# Filename: 20180418_133800_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133800.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49082.50, 79.065736, 336.690440, 710.8776, 0.0064068, -0.0350094, 9.49, 1727, 3, 114, 1
49082.50, 79.066441, 336.692056, 710.4059, 0.0069189, -0.0329780, 9.35, 996, 12, 28, 2
49082.50, 79.067146, 336.693671, 709.8031, 0.0060403, -0.0323933, 9.26, 1659, 3, -57, 3
49082.50, 79.066676, 336.692594, 710.2036, 0.0068470, -0.0337965, 6.87, 948, 2, 0, 0
49082.75, 79.065606, 336.691988, 709.6614, 0.0078853, -0.0348252, 9.97, 1784, 0, 114, 1
49082.75, 79.066312, 336.693605, 709.2262, 0.0063842, -0.0339845, 8.99, 871, 7, 29, 2
49082.75, 79.067018, 336.695221, 708.6453, 0.0066916, -0.0315279, 9.46, 1653, 8, -57, 3
49082.75, 79.066548, 336.694146, 709.0056, 0.0068472, -0.0333459, 7.16, 830, 2, 0, 0
49083.00, 79.065477, 336.693542, 708.4899, 0.0073456, -0.0312036, 10.89, 1793, 3, 114, 1
49083.00, 79.066184, 336.695157, 708.0167, 0.0069637, -0.0339590, 8.04, 874, 3, 29, 2
49083.00, 79.066890, 336.696771, 707.5835, 0.0058884, -0.0268984, 9.92, 1634, 7, -57, 3
49083.00, 79.066421, 336.695698, 707.8340, 0.0080348, -0.0312064, 9.37, 841, 10, 0, 0
49083.25, 79.065349, 336.695096, 707.3754, 0.0094322, -0.0312487, 10.43, 1741, 9, 114, 1
49083.25, 79.066055, 336.696710, 706.9117, 0.0057144, -0.0278154, 9.07, 962, 15, 29, 2
49083.25, 79.066762, 336.698323, 706.5960, 0.0064014, -0.0268556, 8.92, 1628, 20, -57, 3
49083.25, 79.066293, 336.697253, 706.7850, 0.0076792, -0.0257821, 8.39, 917, 3, 0, 0
49083.50, 79.065220, 336.696654, 706.2972, 0.0105052, -0.0274862, 8.99, 1730, 24, 115, 1
49083.50, 79.065927, 336.698266, 705.9384, 0.0071645, -0.0265814, 9.03, 948, 10, 29, 2
49083.50, 79.066634, 336.699878, 705.5943, 0.0068845, -0.0280521, 8.71, 1641, 12, -57, 3
49083.50, 79.066165, 336.698809, 705.8242, 0.0082455, -0.0265515, 8.83, 887, 8, 0, 0
49083.75, 79.065091, 336.698210, 705.3340, 0.0103983, -0.0234530, 10.07, 1768, 5, 115, 1
49083.75, 79.065799, 336.699820, 704.9906, 0.0074436, -0.0251613, 9.40, 980, 4, 29, 2
49083.75, 79.066506, 336.701430, 704.6140, 0.0061675, -0.0263378, 10.04, 1621, 14, -57, 3
49083.75, 79.066038, 336.700363, 704.8816, 0.0077204, -0.0249111, 10.43, 907, 2, 0, 0
49084.00, 79.064963, 336.699767, 704.4173, 0.0102288, -0.0227087, 9.75, 1814, 10, 115, 1
49084.00, 79.065671, 336.701374, 704.0975, 0.0068717, -0.0229193, 9.29, 967, 1, 29, 2
49084.00, 79.066379, 336.702981, 703.7667, 0.0035274, -0.0218459, 9.20, 1625, 9, -57, 3
49084.00, 79.065910, 336.701917, 704.0161, 0.0076026, -0.0215289, 9.26, 908, 2, 0, 0
