# Filename: 20180418_134500_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134500.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49503.00, 78.918578, 339.277436, 29.6556, 0.0009238, -0.0017802, 72.35, 1633, 132, 325, 1
49503.00, 78.919799, 339.278084, 65.3420, 0.0681313, 0.0304063, 279.77, 876, 47, 189, 2
49503.00, 78.921020, 339.278731, 73.2910, 0.0253736, 0.0011667, 91.44, 1791, 96, 52, 3
49503.00, 78.921486, 339.278978, 74.5671, 0.0223629, -0.0083354, 54.51, 1100, 53, 0, 0
49503.25, 78.918524, 339.278930, 29.6896, -0.0038046, 0.0068660, 58.22, 1611, 167, 328, 1
49503.25, 78.919749, 339.279560, 66.2838, 0.0480422, 0.0336903, 243.28, 876, 59, 191, 2
49503.25, 78.920973, 339.280190, 73.7564, 0.0144166, 0.0197550, 159.97, 1777, 88, 54, 3
49503.25, 78.921458, 339.280439, 74.2658, 0.0051840, -0.0052506, 74.25, 979, 116, 0, 0
49503.50, 78.918472, 339.280431, 29.5283, -0.0080531, -0.0100608, 45.33, 1758, 41, 331, 1
49503.50, 78.919699, 339.281041, 67.1605, 0.0660244, 0.0342459, 212.10, 834, 106, 194, 2
49503.50, 78.920926, 339.281651, 74.3989, 0.0091104, 0.0248360, 205.82, 1765, 84, 56, 3
49503.50, 78.921430, 339.281902, 74.2863, -0.0685576, 0.0414433, 146.22, 981, 70, 0, 0
49503.75, 78.918433, 339.281941, 29.3591, -0.0106630, 0.0010208, 48.64, 1746, 14, 332, 1
49503.75, 78.919657, 339.282528, 67.0860, 0.0870666, -0.0058154, 229.54, 820, 74, 195, 2
49503.75, 78.920881, 339.283115, 75.5370, 0.0100328, 0.0537970, 198.55, 1865, 28, 58, 3
49503.75, 78.921404, 339.283366, 76.0104, -0.0664765, 0.0512599, 163.09, 1098, 7, 0, 0
49504.00, 78.918403, 339.283474, 29.2849, -0.0064573, -0.0094129, 58.52, 1641, 17, 332, 1
49504.00, 78.919621, 339.284030, 67.0151, 0.0958937, 0.0107616, 208.69, 865, 41, 196, 2
49504.00, 78.920839, 339.284585, 77.1675, 0.0149195, 0.0546437, 185.14, 1899, 16, 60, 3
49504.00, 78.921378, 339.284831, 79.2619, 0.0694892, 0.0392773, 121.36, 1080, 57, 0, 0
49504.25, 78.918381, 339.284984, 29.1685, -0.0016864, -0.0081334, 62.77, 1498, 70, 332, 1
49504.25, 78.919602, 339.285523, 67.5135, 0.1089030, 0.0266671, 166.40, 948, 36, 196, 2
49504.25, 78.920823, 339.286062, 78.1320, 0.0188907, 0.0080384, 188.41, 1887, 40, 59, 3
49504.25, 78.921354, 339.286297, 80.1645, 0.1247030, 0.0061025, 76.61, 1053, 41, 0, 0
49504.50, 78.918374, 339.286496, 29.3086, -0.0038540, 0.0149104, 102.91, 1419, 162, 330, 1
49504.50, 78.919600, 339.287021, 68.0571, 0.1146228, 0.0049161, 126.35, 944, 38, 193, 2
49504.50, 78.920825, 339.287547, 78.2988, 0.0095745, -0.0125498, 172.30, 1816, 58, 56, 3
49504.50, 78.921331, 339.287764, 79.2809, 0.0930409, -0.0191538, 98.55, 999, 50, 0, 0
49504.75, 78.918377, 339.288028, 38.6554, 0.1968360, 0.0593065, 679.47, 1570, 0, 327, 1
49504.75, 78.919607, 339.288533, 68.2629, 0.1092406, -0.0062253, 98.18, 962, 57, 190, 2
49504.75, 78.920836, 339.289038, 77.8721, 0.0131644, -0.0208378, 151.48, 1787, 56, 53, 3
49504.75, 78.921308, 339.289232, 78.5926, 0.0697305, -0.0067205, 106.48, 1061, 17, 0, 0
49505.00, 78.918413, 339.289576, 41.2000, 0.2467329, -0.0081774, 652.03, 1527, 0, 321, 1
49505.00, 78.919635, 339.290054, 68.4499, 0.0920183, 0.0041863, 107.51, 938, 54, 184, 2
49505.00, 78.920857, 339.290533, 76.8422, 0.0279143, -0.0394953, 127.52, 1794, 29, 48, 3
49505.00, 78.921286, 339.290701, 77.9473, 0.0457353, -0.0245234, 109.76, 1104, 7, 0, 0
