# Filename: 20180418_134400_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134400.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49443.00, 78.930520, 338.923477, 105.8244, -0.0028998, -0.0309067, 142.88, 1802, 0, 109, 1
49443.00, 78.931584, 338.924438, 103.4799, -0.0126860, -0.0233778, 123.05, 963, 21, -11, 2
49443.00, 78.932648, 338.925399, 103.2325, 0.0099016, -0.0896612, 87.18, 1694, 54, -131, 3
49443.00, 78.931485, 338.924349, 103.5260, -0.0224393, -0.0070481, 114.23, 636, 27, 0, 0
49443.25, 78.930466, 338.924917, 105.0342, 0.0301530, -0.0384824, 99.05, 1823, 17, 110, 1
49443.25, 78.931530, 338.925886, 103.1430, -0.0268351, 0.0015848, 71.60, 943, 31, -10, 2
49443.25, 78.932594, 338.926855, 101.2094, 0.0015209, -0.0509830, 121.68, 1749, 3, -131, 3
49443.25, 78.931437, 338.925801, 103.3656, -0.0337272, -0.0006090, 67.92, 627, 25, 0, 0
49443.50, 78.930416, 338.926365, 103.7548, 0.0281425, -0.0398958, 134.38, 1805, 15, 110, 1
49443.50, 78.931479, 338.927336, 103.2179, -0.0240238, -0.0036870, 70.82, 960, 11, -10, 2
49443.50, 78.932542, 338.928307, 100.0911, 0.0074314, -0.0090572, 148.39, 1686, 1, -130, 3
49443.50, 78.931388, 338.927253, 103.6055, -0.0284154, 0.0075861, 56.31, 627, 17, 0, 0
49443.75, 78.930369, 338.927811, 102.3997, 0.0113400, -0.0253934, 141.67, 1838, 7, 110, 1
49443.75, 78.931434, 338.928791, 102.7573, -0.0095328, -0.0330728, 78.98, 983, 20, -11, 2
49443.75, 78.932498, 338.929771, 99.8681, 0.0066746, 0.0020731, 150.13, 1619, 0, -131, 3
49443.75, 78.931339, 338.928704, 103.0219, 0.0021589, -0.0410332, 57.79, 643, 25, 0, 0
49444.00, 78.930320, 338.929262, 101.8882, 0.0018073, 0.0104986, 101.05, 1847, 49, 110, 1
49444.00, 78.931386, 338.930243, 101.5241, -0.0195747, -0.0534329, 109.36, 983, 50, -11, 2
49444.00, 78.932451, 338.931224, 98.9622, 0.0169590, -0.0568014, 143.55, 1645, 0, -131, 3
49444.00, 78.931290, 338.930155, 101.9394, -0.0226768, -0.0393028, 106.24, 669, 23, 0, 0
49444.25, 78.930275, 338.930710, 102.0740, -0.0035871, 0.0083755, 101.23, 1831, 72, 109, 1
49444.25, 78.931341, 338.931700, 100.5730, -0.0544701, -0.0523573, 148.21, 1021, 30, -11, 2
49444.25, 78.932407, 338.932690, 97.4913, 0.0226564, -0.0278401, 156.44, 1618, 3, -132, 3
49444.25, 78.931240, 338.931606, 101.1032, -0.0589940, -0.0558298, 151.25, 689, 12, 0, 0
49444.50, 78.930233, 338.932160, 102.3092, -0.0079988, 0.0043953, 103.20, 1839, 69, 108, 1
49444.50, 78.931300, 338.933159, 100.2973, -0.0485235, 0.0010348, 231.61, 1010, 27, -12, 2
49444.50, 78.932368, 338.934158, 96.1540, 0.0413949, -0.0247784, 147.85, 1659, 6, -133, 3
49444.50, 78.931191, 338.933056, 101.1431, -0.0388121, 0.0171106, 230.55, 680, 15, 0, 0
49444.75, 78.930183, 338.933607, 103.1354, 0.0083087, 0.0109221, 91.31, 1842, 69, 108, 1
49444.75, 78.931251, 338.934610, 100.1219, -0.0677553, -0.0473017, 225.90, 981, 20, -12, 2
49444.75, 78.932318, 338.935612, 95.6375, 0.0433313, 0.0342972, 110.81, 1691, 41, -133, 3
49444.75, 78.931140, 338.934506, 101.3025, -0.0566559, -0.0264654, 219.57, 648, 15, 0, 0
49445.00, 78.930129, 338.935043, 103.9836, 0.0238968, 0.0258424, 95.34, 1916, 27, 109, 1
49445.00, 78.931197, 338.936055, 97.9593, -0.0928270, -0.0971436, 218.87, 972, 14, -12, 2
49445.00, 78.932265, 338.937066, 97.4608, 0.0363254, 0.1006336, 106.34, 1694, 14, -133, 3
49445.00, 78.931090, 338.935954, 98.7643, -0.1244806, -0.1216645, 224.09, 638, 8, 0, 0
49445.25, 78.930064, 338.936479, 104.4911, 0.0213421, 0.0205679, 128.65, 1869, 99, 110, 1
49445.25, 78.931135, 338.937495, 96.6334, -0.0657677, -0.0223884, 287.49, 996, 4, -11, 2
49445.25, 78.932206, 338.938511, 100.4817, 0.0344681, 0.1099786, 84.36, 1675, 9, -132, 3
49445.25, 78.931040, 338.937404, 96.8085, -0.1198178, -0.0502310, 217.86, 644, 13, 0, 0
49445.50, 78.929997, 338.937912, 104.9127, 0.0194627, 0.0161044, 166.87, 1941, 59, 112, 1
49445.50, 78.931069, 338.938931, 98.8418, -0.0527930, 0.1259901, 198.15, 1012, 1, -9, 2
49445.50, 78.932141, 338.939949, 103.3674, 0.0311269, 0.0889850, 98.50, 1643, 33, -130, 3
49445.50, 78.930989, 338.938854, 98.6230, -0.0687521, 0.1195180, 178.48, 681, 0, 0, 0
49445.75, 78.929924, 338.939333, 104.4037, 0.0278862, -0.0353373, 172.56, 1933, 10, 115, 1
49445.75, 78.930998, 338.940360, 102.5261, -0.0581210, 0.0713459, 167.46, 960, 16, -7, 2
49445.75, 78.932072, 338.941387, 105.3286, 0.0469278, 0.0781053, 126.21, 1659, 13, -128, 3
49445.75, 78.930938, 338.940303, 102.2029, -0.0619675, 0.0974413, 167.29, 658, 0, 0, 0
49446.00, 78.929858, 338.940768, 103.2226, -0.0079301, 0.0020889, 175.72, 1864, 27, 116, 1
49446.00, 78.930928, 338.941791, 104.3230, -0.0371045, 0.0240660, 106.97, 970, 18, -5, 2
49446.00, 78.931998, 338.942814, 106.2353, 0.0633557, 0.0215843, 107.62, 1629, 71, -126, 3
49446.00, 78.930887, 338.941751, 104.4023, -0.0526690, 0.0340229, 89.60, 664, 1, 0, 0
49446.25, 78.929796, 338.942202, 104.6822, -0.0330578, 0.0841408, 162.01, 1867, 7, 118, 1
49446.25, 78.930862, 338.943226, 105.2516, -0.0073710, 0.0453884, 133.23, 1011, 15, -3, 2
49446.25, 78.931928, 338.944250, 106.6534, 0.0469198, 0.0154157, 110.26, 1694, 52, -124, 3
49446.25, 78.930836, 338.943201, 105.6421, -0.0012653, 0.0485484, 147.77, 694, 6, 0, 0
49446.50, 78.929734, 338.943631, 107.2498, -0.0105533, 0.0448917, 174.90, 1841, 1, 119, 1
49446.50, 78.930796, 338.944659, 106.1310, 0.0109938, 0.0132498, 117.63, 1008, 19, -1, 2
49446.50, 78.931858, 338.945688, 107.7937, 0.0248528, 0.0612906, 98.65, 1692, 12, -122, 3
49446.50, 78.930784, 338.944648, 106.1364, 0.0353529, -0.0019229, 103.96, 673, 16, 0, 0
49446.75, 78.929677, 338.945075, 108.1251, 0.0203952, -0.0105751, 187.73, 1840, 0, 119, 1
49446.75, 78.930735, 338.946099, 106.8921, -0.0052547, 0.0312327, 111.91, 1039, 5, -0, 2
49446.75, 78.931792, 338.947123, 108.9639, 0.0280704, 0.0184848, 128.82, 1663, 3, -120, 3
49446.75, 78.930733, 338.946097, 106.6050, -0.0045797, 0.0391756, 111.21, 693, 8, 0, 0
49447.00, 78.929608, 338.946505, 107.0387, 0.0356751, -0.0353745, 172.29, 1816, 21, 121, 1
49447.00, 78.930667, 338.947534, 108.1392, -0.0322165, 0.0354334, 98.73, 997, 33, 2, 2
49447.00, 78.931726, 338.948563, 109.4666, 0.0214320, 0.0193468, 107.40, 1631, 14, -118, 3
49447.00, 78.930681, 338.947547, 107.8705, -0.0397631, 0.0371255, 86.49, 665, 31, 0, 0
49447.25, 78.929555, 338.947952, 106.7418, -0.0326548, 0.0952491, 180.81, 1759, 35, 122, 1
49447.25, 78.930611, 338.948978, 108.2108, -0.0005506, -0.0360440, 166.94, 957, 46, 2, 2
49447.25, 78.931668, 338.950003, 109.6314, 0.0275737, -0.0088225, 148.90, 1590, 0, -118, 3
49447.25, 78.930629, 338.948995, 108.2880, -0.0103860, -0.0308709, 136.72, 665, 2, 0, 0
49447.50, 78.929497, 338.949393, 108.5245, -0.0678614, 0.0480565, 159.47, 1755, 12, 122, 1
49447.50, 78.930553, 338.950421, 107.1423, 0.0303801, 0.0255175, 222.20, 1014, 0, 3, 2
