# Filename: 20180418_134800_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134800.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49683.00, 78.919956, 340.359989, 47.3236, 0.0027161, 0.0012137, 9.92, 1787, 11, 128, 1
49683.00, 78.921018, 340.359952, 47.8407, 0.0050504, 0.0021372, 9.52, 919, 11, 10, 2
49683.00, 78.922079, 340.359915, 48.0878, -0.0003276, 0.0093885, 9.70, 1642, 7, -108, 3
49683.00, 78.921110, 340.359949, 47.8902, 0.0047338, 0.0019853, 10.77, 623, 0, 0, 0
49683.25, 78.919975, 340.361471, 47.1300, 0.0049840, -0.0160373, 15.62, 1773, 27, 127, 1
49683.25, 78.921036, 340.361435, 47.7156, 0.0040286, -0.0114039, 6.93, 901, 16, 8, 2
49683.25, 78.922097, 340.361398, 48.0893, 0.0010947, -0.0073511, 11.42, 1600, 0, -110, 3
49683.25, 78.921112, 340.361432, 47.7503, 0.0040749, -0.0115844, 6.47, 596, 9, 0, 0
49683.50, 78.919992, 340.362957, 46.3638, 0.0085586, -0.0351634, 15.07, 1831, 2, 125, 1
49683.50, 78.921053, 340.362918, 47.2357, 0.0044185, -0.0197783, 7.90, 902, 30, 7, 2
49683.50, 78.922114, 340.362879, 47.6788, 0.0017856, -0.0179508, 6.66, 1590, 4, -111, 3
49683.50, 78.921114, 340.362916, 47.2696, 0.0042972, -0.0195416, 7.17, 605, 12, 0, 0
49683.75, 78.920005, 340.364432, 45.3341, 0.0026062, -0.0233553, 40.75, 1792, 0, 124, 1
49683.75, 78.921068, 340.364400, 46.3721, 0.0090441, -0.0343948, 13.51, 935, 6, 5, 2
49683.75, 78.922130, 340.364367, 47.1290, 0.0015311, -0.0169936, 6.58, 1598, 43, -113, 3
49683.75, 78.921116, 340.364398, 46.4215, 0.0090116, -0.0333767, 12.71, 626, 2, 0, 0
49684.00, 78.920018, 340.365913, 44.6228, -0.0187443, 0.0146279, 29.56, 1701, 103, 122, 1
49684.00, 78.921079, 340.365882, 45.0425, 0.0109296, -0.0489910, 16.99, 955, 8, 4, 2
49684.00, 78.922140, 340.365851, 46.5375, 0.0042834, -0.0168972, 13.35, 1595, 76, -114, 3
49684.00, 78.921118, 340.365881, 45.0354, 0.0123973, -0.0519633, 13.27, 638, 4, 0, 0
49684.25, 78.920030, 340.367391, 45.2977, -0.0209520, 0.0322154, 17.69, 1831, 19, 121, 1
49684.25, 78.921089, 340.367365, 43.9917, 0.0020790, -0.0197634, 48.04, 960, 13, 3, 2
49684.25, 78.922147, 340.367338, 45.5993, 0.0178631, -0.0228097, 37.85, 1663, 0, -114, 3
49684.25, 78.921119, 340.367364, 43.9099, 0.0033442, -0.0209967, 40.11, 643, 9, 0, 0
49684.50, 78.920039, 340.368875, 46.4496, -0.0126348, 0.0274851, 14.21, 1766, 92, 120, 1
49684.50, 78.921096, 340.368847, 44.4300, -0.0139381, 0.0490402, 28.00, 899, 33, 3, 2
49684.50, 78.922152, 340.368819, 45.0859, 0.0258334, -0.0015851, 29.23, 1628, 52, -115, 3
49684.50, 78.921120, 340.368846, 44.3623, -0.0147894, 0.0483700, 27.11, 607, 18, 0, 0
49684.75, 78.920044, 340.370354, 47.3104, -0.0082965, 0.0220200, 9.35, 1827, 30, 120, 1
49684.75, 78.921100, 340.370329, 46.0487, -0.0106873, 0.0523969, 27.27, 921, 2, 2, 2
49684.75, 78.922155, 340.370304, 45.9291, 0.0133935, 0.0364138, 39.80, 1667, 3, -115, 3
49684.75, 78.921122, 340.370328, 46.0298, -0.0105650, 0.0521442, 20.59, 596, 15, 0, 0
49685.00, 78.920048, 340.371838, 47.9574, -0.0063836, 0.0171617, 10.28, 1861, 0, 120, 1
49685.00, 78.921103, 340.371813, 47.3237, -0.0031943, 0.0254283, 11.61, 959, 22, 2, 2
49685.00, 78.922157, 340.371788, 47.1150, 0.0031117, 0.0264228, 16.11, 1597, 13, -115, 3
