# Filename: 20180418_133500_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133500.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
48902.75, 79.153975, 335.596803, 878.4718, 0.0126855, 0.0167473, 6.50, 1733, 5, 96, 1
48902.75, 79.154585, 335.598198, 879.8531, 0.0143150, 0.0154200, 7.00, 885, 0, 22, 2
48902.75, 79.155194, 335.599594, 881.3660, 0.0164084, 0.0141863, 6.05, 1604, 10, -52, 3
48902.75, 79.154766, 335.598614, 880.2899, 0.0155642, 0.0153667, 5.90, 971, 5, 0, 0
48903.00, 79.153855, 335.598334, 878.8018, 0.0122657, 0.0150937, 6.35, 1654, 2, 95, 1
48903.00, 79.154465, 335.599728, 880.1523, 0.0136902, 0.0149862, 6.20, 919, 2, 22, 2
48903.00, 79.155075, 335.601122, 881.6386, 0.0152782, 0.0157932, 5.30, 1548, 13, -52, 3
48903.00, 79.154643, 335.600134, 880.5750, 0.0151074, 0.0158195, 5.91, 1001, 5, 0, 0
48903.25, 79.153736, 335.599863, 879.1249, 0.0124418, 0.0151340, 6.18, 1564, 4, 95, 1
48903.25, 79.154346, 335.601258, 880.4712, 0.0141084, 0.0164615, 5.22, 1004, 7, 21, 2
48903.25, 79.154957, 335.602654, 881.9371, 0.0150497, 0.0147818, 5.39, 1586, 8, -53, 3
48903.25, 79.154520, 335.601655, 880.8884, 0.0146580, 0.0167295, 5.34, 1072, 7, 0, 0
48903.50, 79.153616, 335.601395, 879.4653, 0.0118997, 0.0159110, 5.99, 1577, 5, 94, 1
48903.50, 79.154227, 335.602789, 880.7861, 0.0143721, 0.0149421, 5.04, 991, 6, 20, 2
48903.50, 79.154838, 335.604183, 882.1967, 0.0144217, 0.0132110, 5.19, 1533, 4, -53, 3
48903.50, 79.154397, 335.603175, 881.1817, 0.0148359, 0.0144955, 4.98, 1058, 12, 0, 0
48903.75, 79.153497, 335.602919, 879.7738, 0.0125421, 0.0138179, 5.79, 1667, 3, 94, 1
48903.75, 79.154109, 335.604316, 881.0591, 0.0144666, 0.0142411, 5.49, 884, 1, 20, 2
48903.75, 79.154720, 335.605713, 882.4337, 0.0140797, 0.0131564, 5.14, 1452, 2, -54, 3
48903.75, 79.154274, 335.604694, 881.4344, 0.0145927, 0.0141480, 4.88, 923, 5, 0, 0
48904.00, 79.153377, 335.604446, 880.0242, 0.0115384, 0.0129993, 6.15, 1792, 4, 94, 1
48904.00, 79.153989, 335.605842, 881.3011, 0.0149192, 0.0133121, 5.76, 859, 1, 20, 2
48904.00, 79.154601, 335.607239, 882.6519, 0.0143159, 0.0119473, 4.96, 1499, 1, -54, 3
48904.00, 79.154151, 335.606212, 881.6619, 0.0149794, 0.0131648, 5.46, 874, 0, 0, 0
48904.25, 79.153258, 335.605975, 880.2641, 0.0119935, 0.0120453, 6.69, 1869, 6, 93, 1
48904.25, 79.153870, 335.607370, 881.5699, 0.0137564, 0.0154738, 5.34, 937, 3, 19, 2
48904.25, 79.154482, 335.608765, 882.9014, 0.0126777, 0.0146594, 5.00, 1674, 16, -55, 3
48904.25, 79.154029, 335.607731, 881.9192, 0.0135401, 0.0153510, 5.34, 1011, 4, 0, 0
48904.50, 79.153138, 335.607502, 880.5193, 0.0122767, 0.0135753, 5.97, 1865, 7, 93, 1
48904.50, 79.153750, 335.608895, 881.8782, 0.0139133, 0.0152754, 4.91, 946, 5, 19, 2
48904.50, 79.154363, 335.610289, 883.1804, 0.0124843, 0.0128532, 5.84, 1730, 8, -55, 3
48904.50, 79.153906, 335.609249, 882.2193, 0.0131565, 0.0147156, 5.13, 1032, 9, 0, 0
48904.75, 79.153017, 335.609023, 880.7712, 0.0123086, 0.0124785, 6.08, 1868, 0, 93, 1
48904.75, 79.153631, 335.610420, 882.1425, 0.0146117, 0.0131244, 4.94, 963, 3, 18, 2
48904.75, 79.154245, 335.611816, 883.4024, 0.0123811, 0.0104908, 5.74, 1719, 3, -56, 3
48904.75, 79.153784, 335.610766, 882.4712, 0.0139911, 0.0124362, 5.05, 1054, 2, 0, 0
48905.00, 79.152897, 335.610544, 880.9979, 0.0129153, 0.0121183, 6.70, 1849, 1, 92, 1
48905.00, 79.153512, 335.611944, 882.3607, 0.0144363, 0.0125944, 4.71, 973, 0, 18, 2
48905.00, 79.154127, 335.613343, 883.5707, 0.0115414, 0.0087485, 6.54, 1681, 3, -56, 3
48905.00, 79.153662, 335.612283, 882.6742, 0.0140993, 0.0123113, 4.89, 1052, 3, 0, 0
