# Filename: 20180418_134600_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134600.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49562.75, 78.910721, 339.634217, 61.8600, -0.1044802, 0.0056833, 484.71, 1680, 0, 267, 1
49562.75, 78.911743, 339.634653, 39.3880, -0.2840908, -0.0187232, 440.21, 981, 0, 153, 2
49562.75, 78.912765, 339.635088, 28.4804, -0.0006759, 0.0067408, 48.68, 1538, 43, 39, 3
49562.75, 78.913111, 339.635235, 28.5088, -0.0120687, 0.0038730, 29.91, 1046, 34, 0, 0
49563.00, 78.910702, 339.635862, 62.0506, -0.1051194, 0.0010389, 386.67, 1653, 19, 266, 1
49563.00, 78.911725, 339.636272, 39.7121, -0.2375355, 0.0210467, 415.56, 977, 10, 152, 2
49563.00, 78.912748, 339.636682, 28.6553, -0.0068411, -0.0096568, 44.54, 1584, 56, 38, 3
49563.00, 78.913086, 339.636818, 28.3795, -0.0059748, -0.0111205, 29.67, 1075, 53, 0, 0
49563.25, 78.910682, 339.637483, 60.9614, -0.0774289, -0.0918834, 353.85, 1587, 24, 266, 1
49563.25, 78.911704, 339.637876, 40.4574, -0.2323206, 0.0166009, 474.51, 969, 0, 152, 2
49563.25, 78.912726, 339.638270, 28.3198, -0.0044284, -0.0051077, 27.58, 1576, 95, 38, 3
49563.25, 78.913063, 339.638400, 28.1110, 0.0021363, 0.0000000, 8.20, 1059, 96, 0, 0
49563.50, 78.910638, 339.639097, 58.6317, -0.0470713, -0.0823365, 399.89, 1565, 9, 268, 1
49563.50, 78.911669, 339.639478, 42.2277, -0.2797994, 0.0399818, 448.26, 954, 0, 153, 2
