# Filename: 20180418_133400_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133400.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
48842.75, 79.183751, 335.224967, 857.3855, -0.0028528, -0.0020491, 6.93, 1897, 2, 94, 1
48842.75, 79.184434, 335.226327, 857.0664, -0.0030301, -0.0029752, 6.48, 990, 2, 13, 2
48842.75, 79.185118, 335.227688, 856.7788, -0.0034669, -0.0013853, 7.21, 1713, 13, -68, 3
48842.75, 79.184546, 335.226550, 857.0099, -0.0029987, -0.0024828, 6.35, 988, 1, 0, 0
48843.00, 79.183645, 335.226560, 857.3676, -0.0038886, -0.0012254, 6.65, 1894, 13, 94, 1
48843.00, 79.184328, 335.227922, 857.0336, -0.0036300, -0.0014394, 5.80, 958, 4, 13, 2
48843.00, 79.185011, 335.229285, 856.7451, -0.0026866, -0.0025219, 7.73, 1704, 6, -68, 3
48843.00, 79.184435, 335.228136, 856.9850, -0.0035554, -0.0016374, 6.28, 957, 3, 0, 0
48843.25, 79.183539, 335.228156, 857.3375, -0.0033957, -0.0029145, 6.83, 1892, 15, 93, 1
48843.25, 79.184221, 335.229517, 857.0220, -0.0039437, -0.0017410, 6.08, 919, 5, 12, 2
48843.25, 79.184904, 335.230878, 856.7124, -0.0034776, -0.0014402, 7.89, 1724, 3, -69, 3
48843.25, 79.184324, 335.229722, 856.9747, -0.0038018, -0.0014374, 6.83, 902, 5, 0, 0
48843.50, 79.183433, 335.229754, 857.2887, -0.0031381, -0.0019557, 5.91, 1885, 18, 93, 1
48843.50, 79.184115, 335.231114, 857.0096, -0.0036908, -0.0020678, 5.55, 904, 6, 12, 2
48843.50, 79.184798, 335.232473, 856.7005, -0.0039176, -0.0027612, 7.53, 1735, 3, -69, 3
48843.50, 79.184212, 335.231307, 856.9674, -0.0036057, -0.0021199, 5.80, 882, 11, 0, 0
48843.75, 79.183328, 335.231353, 857.2861, -0.0030274, -0.0007943, 6.05, 1908, 5, 92, 1
48843.75, 79.184010, 335.232711, 857.0005, -0.0028333, -0.0010890, 5.36, 963, 7, 11, 2
48843.75, 79.184691, 335.234069, 856.6885, -0.0048944, -0.0021056, 6.65, 1661, 13, -70, 3
48843.75, 79.184101, 335.232893, 856.9636, -0.0031860, -0.0011324, 5.63, 956, 4, 0, 0
48844.00, 79.183223, 335.232948, 857.2537, -0.0023795, -0.0031186, 6.89, 1889, 3, 91, 1
48844.00, 79.183903, 335.234307, 856.9711, -0.0018660, -0.0021213, 5.51, 989, 17, 10, 2
48844.00, 79.184583, 335.235665, 856.6792, -0.0038070, -0.0019723, 7.17, 1635, 9, -70, 3
48844.00, 79.183990, 335.234480, 856.9399, -0.0020462, -0.0022565, 5.54, 990, 17, 0, 0
48844.25, 79.183113, 335.234539, 857.1786, -0.0029412, -0.0030317, 7.01, 1895, 0, 91, 1
48844.25, 79.183793, 335.235894, 856.9416, -0.0028266, -0.0014686, 6.23, 1032, 8, 10, 2
48844.25, 79.184472, 335.237250, 856.6434, -0.0027744, -0.0025877, 6.41, 1605, 15, -71, 3
48844.25, 79.183878, 335.236065, 856.9073, -0.0029361, -0.0017404, 5.95, 1021, 14, 0, 0
48844.50, 79.182991, 335.236104, 857.1702, -0.0043181, -0.0010818, 8.65, 1897, 2, 92, 1
48844.50, 79.183674, 335.237467, 856.9154, -0.0028885, -0.0023203, 6.44, 969, 9, 11, 2
48844.50, 79.184357, 335.238829, 856.5993, -0.0032179, -0.0025998, 6.49, 1603, 26, -70, 3
48844.50, 79.183766, 335.237651, 856.8736, -0.0027798, -0.0025173, 6.25, 940, 10, 0, 0
48844.75, 79.182867, 335.237664, 857.1607, -0.0038632, -0.0034536, 8.50, 1855, 2, 94, 1
48844.75, 79.183552, 335.239032, 856.8788, -0.0032553, -0.0028459, 6.22, 987, 5, 12, 2
48844.75, 79.184238, 335.240399, 856.5862, -0.0038735, -0.0020422, 6.96, 1668, 14, -69, 3
48844.75, 79.183655, 335.239237, 856.8308, -0.0030453, -0.0029765, 6.30, 956, 5, 0, 0
48845.00, 79.182742, 335.239222, 857.1031, -0.0034724, -0.0027835, 7.70, 1855, 1, 95, 1
48845.00, 79.183427, 335.240591, 856.8482, -0.0027370, -0.0016335, 7.35, 1074, 1, 14, 2
48845.00, 79.184112, 335.241960, 856.5853, -0.0033618, -0.0010004, 7.28, 1712, 0, -68, 3
48845.00, 79.183544, 335.240824, 856.8013, -0.0032160, -0.0014217, 7.50, 1042, 1, 0, 0
48845.25, 79.182619, 335.240782, 857.1166, -0.0044235, 0.0000000, 8.11, 1846, 0, 97, 1
48845.25, 79.183302, 335.242149, 856.8372, -0.0031202, -0.0008305, 7.40, 1042, 1, 15, 2
48845.25, 79.183986, 335.243517, 856.5977, -0.0023104, 0.0001710, 7.39, 1737, 1, -66, 3
48845.25, 79.183432, 335.242409, 856.7858, -0.0034653, -0.0010704, 7.43, 1035, 1, 0, 0
48845.50, 79.182498, 335.242350, 857.1357, -0.0034137, -0.0026542, 7.85, 1861, 1, 98, 1
48845.50, 79.183179, 335.243712, 856.8529, -0.0036791, -0.0012720, 6.64, 992, 2, 17, 2
48845.50, 79.183860, 335.245074, 856.6125, -0.0019920, -0.0014218, 6.77, 1711, 6, -64, 3
48845.50, 79.183320, 335.243995, 856.7929, -0.0035831, -0.0009113, 6.81, 993, 1, 0, 0
48845.75, 79.182381, 335.243928, 857.1184, -0.0026253, -0.0012835, 7.58, 1839, 6, 98, 1
48845.75, 79.183059, 335.245282, 856.8802, -0.0032890, -0.0005165, 6.27, 952, 1, 18, 2
48845.75, 79.183737, 335.246636, 856.6227, -0.0032363, -0.0010335, 5.84, 1685, 5, -63, 3
48845.75, 79.183209, 335.245581, 856.8226, -0.0031723, -0.0005267, 6.05, 958, 3, 0, 0
48846.00, 79.182268, 335.245511, 857.1545, -0.0036397, 0.0007299, 8.48, 1778, 1, 99, 1
48846.00, 79.182942, 335.246858, 856.8654, -0.0028962, -0.0024581, 6.26, 896, 1, 18, 2
48846.00, 79.183617, 335.248206, 856.6135, -0.0029328, -0.0022892, 5.74, 1656, 3, -62, 3
48846.00, 79.183097, 335.247167, 856.8052, -0.0022619, -0.0022591, 5.84, 927, 0, 0, 0
48846.25, 79.182156, 335.247095, 857.1582, -0.0030100, -0.0024906, 7.88, 1670, 1, 99, 1
48846.25, 79.182829, 335.248441, 856.8330, -0.0029325, -0.0012365, 6.14, 851, 1, 19, 2
48846.25, 79.183502, 335.249786, 856.6006, -0.0032200, -0.0010459, 6.25, 1525, 4, -61, 3
48846.25, 79.182985, 335.248754, 856.7727, -0.0021389, -0.0008953, 5.69, 868, 0, 0, 0
48846.50, 79.182044, 335.248681, 857.1292, -0.0036971, -0.0010955, 6.93, 1538, 4, 99, 1
48846.50, 79.182717, 335.250026, 856.8360, -0.0027221, -0.0005516, 5.57, 922, 1, 19, 2
48846.50, 79.183391, 335.251372, 856.6110, -0.0036753, -0.0018971, 7.98, 1444, 2, -61, 3
48846.50, 79.182874, 335.250339, 856.7810, -0.0025178, -0.0004278, 5.78, 939, 0, 0, 0
48846.75, 79.181936, 335.250274, 857.0989, -0.0037958, -0.0030791, 7.04, 1503, 0, 98, 1
48846.75, 79.182609, 335.251619, 856.8144, -0.0025699, -0.0026478, 5.80, 1005, 6, 18, 2
48846.75, 79.183282, 335.252965, 856.5822, -0.0036364, -0.0028119, 7.19, 1467, 3, -62, 3
48846.75, 79.182762, 335.251926, 856.7593, -0.0016966, -0.0023958, 5.65, 1042, 2, 0, 0
48847.00, 79.181828, 335.251869, 857.0640, -0.0038323, -0.0016555, 7.29, 1526, 0, 98, 1
48847.00, 79.182501, 335.253214, 856.7648, -0.0022073, -0.0023207, 6.66, 981, 5, 18, 2
48847.00, 79.183174, 335.254559, 856.5184, -0.0032398, -0.0034889, 5.79, 1382, 12, -62, 3
48847.00, 79.182650, 335.253512, 856.7195, -0.0016241, -0.0015045, 5.96, 1014, 1, 0, 0
48847.25, 79.181721, 335.253464, 857.0535, -0.0037297, -0.0015450, 7.11, 1587, 0, 97, 1
48847.25, 79.182393, 335.254809, 856.7567, -0.0024654, -0.0003417, 6.26, 882, 3, 17, 2
48847.25, 79.183065, 335.256153, 856.4778, -0.0039153, -0.0017110, 6.13, 1335, 10, -63, 3
48847.25, 79.182539, 335.255100, 856.7098, -0.0024747, -0.0010634, 6.11, 877, 2, 0, 0
48847.50, 79.181614, 335.255058, 857.0241, -0.0040413, -0.0025653, 7.31, 1708, 0, 97, 1
48847.50, 79.182285, 335.256402, 856.7536, -0.0030621, -0.0017686, 5.71, 797, 0, 17, 2
48847.50, 79.182957, 335.257745, 856.4534, -0.0037070, -0.0020382, 5.87, 1467, 10, -63, 3
48847.50, 79.182427, 335.256685, 856.6907, -0.0033219, -0.0017848, 5.50, 773, 3, 0, 0
48847.75, 79.181506, 335.256655, 857.0014, -0.0038094, -0.0018946, 7.10, 1840, 0, 96, 1
48847.75, 79.182178, 335.257997, 856.7280, -0.0027274, -0.0014501, 5.68, 883, 0, 16, 2
48847.75, 79.182849, 335.259339, 856.4228, -0.0040046, -0.0028615, 6.49, 1635, 2, -63, 3
48847.75, 79.182315, 335.258272, 856.6747, -0.0033067, -0.0012960, 5.38, 865, 7, 0, 0
48848.00, 79.181399, 335.258253, 856.9940, -0.0033066, -0.0014452, 6.40, 1884, 2, 96, 1
48848.00, 79.182069, 335.259591, 856.7040, -0.0021123, -0.0017836, 5.75, 1006, 1, 16, 2
48848.00, 79.182739, 335.260928, 856.3947, -0.0042108, -0.0026286, 6.98, 1654, 3, -64, 3
48848.00, 79.182204, 335.259859, 856.6545, -0.0026879, -0.0021815, 5.83, 999, 4, 0, 0
48848.25, 79.181291, 335.259846, 856.9697, -0.0032616, -0.0022551, 6.51, 1902, 4, 95, 1
48848.25, 79.181961, 335.261184, 856.6571, -0.0024832, -0.0022195, 5.84, 1046, 3, 16, 2
48848.25, 79.182631, 335.262521, 856.3556, -0.0039560, -0.0030098, 6.66, 1640, 5, -64, 3
48848.25, 79.182092, 335.261445, 856.6037, -0.0028378, -0.0023781, 5.84, 1043, 3, 0, 0
48848.50, 79.181183, 335.261437, 856.9079, -0.0028061, -0.0035399, 6.32, 1900, 7, 95, 1
48848.50, 79.181852, 335.262773, 856.6029, -0.0029070, -0.0026014, 6.74, 1014, 0, 15, 2
48848.50, 79.182521, 335.264110, 856.3005, -0.0037038, -0.0027399, 6.13, 1680, 25, -64, 3
48848.50, 79.181980, 335.263031, 856.5469, -0.0026180, -0.0025863, 6.31, 1014, 2, 0, 0
48848.75, 79.181074, 335.263031, 856.8387, -0.0029917, -0.0027473, 6.81, 1841, 1, 94, 1
48848.75, 79.181743, 335.264366, 856.5395, -0.0018743, -0.0033892, 6.94, 991, 1, 15, 2
48848.75, 79.182411, 335.265701, 856.2584, -0.0035414, -0.0021560, 5.98, 1714, 26, -64, 3
48848.75, 79.181869, 335.264618, 856.4896, -0.0016858, -0.0027175, 6.46, 998, 2, 0, 0
48849.00, 79.180965, 335.264623, 856.7911, -0.0025691, -0.0025121, 6.64, 1846, 10, 94, 1
48849.00, 79.181633, 335.265958, 856.4831, -0.0027059, -0.0020173, 6.05, 1023, 4, 15, 2
48849.00, 79.182301, 335.267292, 856.2118, -0.0038800, -0.0036857, 7.02, 1710, 3, -65, 3
48849.00, 79.181757, 335.266205, 856.4378, -0.0020618, -0.0020573, 5.95, 1024, 5, 0, 0
48849.25, 79.180856, 335.266213, 856.7153, -0.0022795, -0.0034621, 7.71, 1884, 5, 94, 1
48849.25, 79.181523, 335.267546, 856.4380, -0.0025799, -0.0025895, 5.50, 1001, 4, 15, 2
48849.25, 79.182190, 335.268879, 856.1587, -0.0044341, -0.0027281, 6.64, 1663, 1, -65, 3
48849.25, 79.181646, 335.267791, 856.3930, -0.0020380, -0.0020973, 5.46, 992, 7, 0, 0
