# Filename: 20180418_133600_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133600.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
48962.75, 79.125583, 335.959894, 842.6638, -0.0047732, -0.0174446, 8.52, 1770, 4, 84, 1
48962.75, 79.126210, 335.961458, 841.7715, -0.0088671, -0.0103567, 8.83, 967, 2, 7, 2
48962.75, 79.126838, 335.963023, 840.7323, -0.0141841, -0.0079203, 11.34, 1584, 1, -70, 3
48962.75, 79.126266, 335.961599, 841.6824, -0.0095133, -0.0101865, 8.61, 1001, 1, 0, 0
48963.00, 79.125442, 335.961385, 842.2852, -0.0053808, -0.0121861, 7.48, 1806, 7, 85, 1
48963.00, 79.126069, 335.962950, 841.5168, -0.0063344, -0.0131023, 7.65, 964, 0, 8, 2
48963.00, 79.126696, 335.964516, 840.6144, -0.0107346, -0.0097463, 10.71, 1615, 2, -69, 3
48963.00, 79.126132, 335.963109, 841.4282, -0.0059486, -0.0126823, 7.39, 1000, 1, 0, 0
48963.25, 79.125300, 335.962880, 841.9686, -0.0037248, -0.0128054, 7.18, 1872, 9, 86, 1
48963.25, 79.125927, 335.964443, 841.1773, -0.0055881, -0.0139364, 7.35, 986, 0, 9, 2
48963.25, 79.126555, 335.966007, 840.3713, -0.0066324, -0.0131992, 8.67, 1663, 4, -68, 3
48963.25, 79.125998, 335.964620, 841.0837, -0.0048152, -0.0133720, 7.06, 1024, 3, 0, 0
48963.50, 79.125161, 335.964378, 841.6593, -0.0052376, -0.0107410, 8.04, 1893, 4, 86, 1
48963.50, 79.125787, 335.965941, 840.8402, -0.0058599, -0.0133269, 7.00, 974, 0, 9, 2
48963.50, 79.126414, 335.967503, 840.0210, -0.0048264, -0.0145823, 7.68, 1684, 4, -68, 3
48963.50, 79.125864, 335.966131, 840.7403, -0.0056994, -0.0132888, 7.27, 1008, 0, 0, 0
48963.75, 79.125022, 335.965876, 841.4034, -0.0072456, -0.0104768, 7.73, 1878, 2, 87, 1
48963.75, 79.125648, 335.967438, 840.5097, -0.0060698, -0.0134993, 7.20, 984, 0, 10, 2
48963.75, 79.126274, 335.969000, 839.6986, -0.0058125, -0.0114442, 8.99, 1735, 0, -67, 3
48963.75, 79.125730, 335.967642, 840.4007, -0.0057942, -0.0134955, 7.47, 1010, 0, 0, 0
48964.00, 79.124885, 335.967378, 841.1927, -0.0093499, -0.0094567, 7.26, 1872, 3, 87, 1
48964.00, 79.125509, 335.968939, 840.2267, -0.0072669, -0.0106470, 7.35, 983, 2, 11, 2
48964.00, 79.126134, 335.970500, 839.3957, -0.0053350, -0.0137465, 8.83, 1739, 2, -66, 3
48964.00, 79.125595, 335.969154, 840.1064, -0.0066590, -0.0106431, 7.09, 1023, 6, 0, 0
48964.25, 79.124748, 335.968879, 841.0379, -0.0100780, -0.0091752, 6.86, 1880, 1, 88, 1
48964.25, 79.125373, 335.970441, 840.0291, -0.0087893, -0.0096771, 7.35, 968, 0, 11, 2
48964.25, 79.125997, 335.972003, 839.0818, -0.0069240, -0.0117744, 7.48, 1727, 8, -66, 3
48964.25, 79.125461, 335.970663, 839.8905, -0.0082594, -0.0099364, 7.44, 1018, 0, 0, 0
48964.50, 79.124612, 335.970385, 840.8652, -0.0099644, -0.0104737, 6.56, 1884, 7, 88, 1
48964.50, 79.125236, 335.971945, 839.8283, -0.0079736, -0.0109290, 6.98, 976, 0, 11, 2
48964.50, 79.125859, 335.973506, 838.8646, -0.0085982, -0.0104982, 8.81, 1699, 3, -66, 3
48964.50, 79.125327, 335.972173, 839.6877, -0.0079131, -0.0101830, 6.77, 1008, 3, 0, 0
48964.75, 79.124476, 335.971890, 840.7326, -0.0126983, -0.0073370, 6.93, 1886, 3, 88, 1
48964.75, 79.125100, 335.973452, 839.6386, -0.0092020, -0.0090732, 7.89, 1012, 2, 11, 2
48964.75, 79.125723, 335.975013, 838.6537, -0.0089549, -0.0123908, 8.68, 1648, 7, -65, 3
48964.75, 79.125192, 335.973684, 839.4885, -0.0090027, -0.0099459, 8.66, 1044, 2, 0, 0
48965.00, 79.124339, 335.973396, 840.6594, -0.0116363, -0.0088817, 8.31, 1848, 6, 88, 1
48965.00, 79.124963, 335.974958, 839.5287, -0.0126191, -0.0083441, 7.58, 994, 0, 12, 2
48965.00, 79.125587, 335.976519, 838.4749, -0.0106153, -0.0080903, 7.52, 1650, 28, -65, 3
48965.00, 79.125057, 335.975194, 839.3519, -0.0128035, -0.0086447, 7.50, 1042, 0, 0, 0
48965.25, 79.124203, 335.974900, 840.5698, -0.0114700, -0.0079991, 7.52, 1855, 9, 89, 1
48965.25, 79.124827, 335.976463, 839.4266, -0.0128440, -0.0105223, 7.41, 970, 0, 12, 2
48965.25, 79.125450, 335.978027, 838.3768, -0.0105998, -0.0093051, 8.76, 1670, 5, -65, 3
48965.25, 79.124923, 335.976705, 839.2468, -0.0122488, -0.0098275, 7.94, 1020, 2, 0, 0
48965.50, 79.124066, 335.976407, 840.4510, -0.0105180, -0.0097442, 8.83, 1873, 6, 89, 1
48965.50, 79.124690, 335.977968, 839.3036, -0.0118442, -0.0094122, 8.03, 971, 2, 12, 2
48965.50, 79.125314, 335.979529, 838.2279, -0.0109804, -0.0107349, 9.84, 1680, 0, -65, 3
48965.50, 79.124788, 335.978214, 839.1309, -0.0114881, -0.0087042, 8.02, 1017, 1, 0, 0
48965.75, 79.123927, 335.977906, 840.3193, -0.0095049, -0.0090628, 8.53, 1844, 7, 89, 1
48965.75, 79.124552, 335.979471, 839.2072, -0.0117534, -0.0082301, 6.87, 941, 1, 12, 2
48965.75, 79.125177, 335.981036, 838.1194, -0.0123267, -0.0067318, 8.07, 1671, 8, -64, 3
48965.75, 79.124653, 335.979724, 839.0265, -0.0113412, -0.0086728, 6.65, 973, 7, 0, 0
48966.00, 79.123783, 335.979391, 840.1495, -0.0067476, -0.0114676, 6.69, 1816, 8, 91, 1
